author_key,top_work,work_count,ratings_count_1,ratings_count_2,ratings_count_3,ratings_count_4,ratings_count_5,readinglog_count,want_to_read_count,currently_reading_count,already_read_count
OL395577A,The Tender Leaves,90,23,24,52,65,52,1788,1079,60,649
OL7231968A,"After (After Series, Book 1)",164,8,4,19,14,102,3464,3019,222,223
OL3292941A,The Greek Tycoon's Virgin Wife,185,21,43,151,212,197,4515,2462,245,1808
OL30421A,The Princess Bride,82,2,4,17,42,47,832,630,38,164
OL805240A,Lesson in love,49,10,11,30,43,55,944,521,51,372
OL1430285A,"The Spiderwick Chronicles: The Wrath of Mulgarath, Book 5",421,25,12,52,103,185,9930,8804,429,697
OL7620131A,"Red, White & Royal Blue",6,16,6,24,45,119,5165,4779,154,232
OL665753A,The Italian's Inexperienced Mistress,627,45,52,271,359,455,9350,5419,455,3476
OL1175057A,Innocent Mistress,344,25,54,245,284,199,5655,3350,242,2063
OL81447A,Marriage Under Fire,204,43,22,65,91,84,2075,1206,114,755
OL6964763A,Shatter Me,63,47,13,41,76,227,17977,16137,1027,813
OL666139A,The Redemption of Darius Sterne,477,48,79,284,405,512,9594,5568,435,3591
OL7173196A,1001 Dark Nights,393,11,3,14,35,72,3162,2827,117,218
OL808883A,The Devil's Pawn,80,26,31,123,162,156,2977,1546,155,1276
OL11086929A,Powerless,18,12,0,2,7,47,3589,3251,217,121
OL1069168A,The island bride,34,38,17,44,47,62,1217,585,65,567
OL451969A,The Secret Mistress,469,23,39,223,431,422,6922,3723,274,2925
OL10218224A,Haunting Adeline,10,99,21,35,73,222,17387,15555,1349,483
OL849503A,The Wrong Kind of Wife,71,18,24,58,67,58,2071,1193,97,781
OL7115219A,A Court of Thorns and Roses,44,68,25,127,228,523,22477,19444,1204,1829
OL1857390A,Temporary Bride,46,2,2,8,5,8,154,83,8,63
OL4728806A,Vampire Lover,243,55,127,236,366,320,9138,5081,409,3648
OL664669A,Wish on the Moon,143,37,56,116,143,137,4186,2345,195,1646
OL9180803A,Twisted Love,28,107,29,77,166,414,37922,34581,2306,1035
OL661093A,Master of Pleasure,385,84,126,442,588,514,14521,8386,706,5429
OL7544679A,A Merry Little Meet Cute,65,2,1,0,3,15,1260,1157,74,29
OL7680979A,Punk 57,35,8,4,12,36,60,6277,5769,315,193
OL7315784A,It Ends With Us,65,239,71,168,363,1216,89903,82035,4752,3116
OL1006974A,The Bartered Bride,89,9,30,70,51,43,1403,739,72,592
OL12751471A,Married at first sight,1,2,0,0,5,37,1222,1063,128,31
OL579518A,One Night In The Orient,230,28,46,157,224,174,5311,3114,281,1916
OL3319143A,A Rich Man's Touch,443,152,113,197,293,235,7488,4563,334,2591
OL811660A,Passion Becomes You,119,42,26,91,127,139,3803,2286,145,1372
OL577983A,ROME'S REVENGE,380,39,70,181,231,224,5832,3037,335,2460
OL39485A,Anne of Green Gables,907,4,13,78,71,115,3643,2814,227,602
OL12660191A,Hopeless,1,3,0,3,1,12,1011,888,67,56
OL194979A,An Ambitious Heart,46,23,16,36,41,18,924,484,62,378
OL687900A,A First Time for Everything,140,22,27,108,221,234,4528,2436,265,1827
OL584494A,Ice into Fire,127,57,23,53,74,57,2263,1327,137,799
OL575932A,A Girl in a Million,301,25,59,242,378,441,9191,5212,317,3662
OL1120447A,Dark Lover,287,2,2,17,30,54,1579,1264,44,271
OL2763201A,The Gift of Loving,53,13,26,97,178,179,3761,2123,175,1463
