author_key,work_key
OL666139A,OL3775489W
OL2763201A,OL8315310W
OL811660A,OL4233186W
OL30421A,OL486967W
OL1120447A,OL5091273W
OL664669A,OL3770466W
OL3319143A,OL3771180W
OL6964763A,OL21775531W
OL579518A,OL3476075W
OL395577A,OL2705619W
OL579518A,OL3476079W
OL1175057A,OL5236199W
OL2763201A,OL8030401W
OL451969A,OL2959270W
OL1857390A,OL6794523W
OL2763201A,OL6794523W
OL664669A,OL3770492W
OL1175057A,OL5236259W
OL661093A,OL11327979W
OL2763201A,OL8315354W
OL687900A,OL3845148W
OL10218224A,OL27310398W
OL577983A,OL3467489W
OL575932A,OL3458001W
OL1006974A,OL16481385W
OL661093A,OL3759318W
OL7620131A,OL20090688W
OL3292941A,OL3498612W
OL2763201A,OL8315359W
OL7315784A,OL20068530W
OL849503A,OL4342716W
OL2763201A,OL8315358W
OL577983A,OL11327660W
OL811660A,OL4233148W
OL9180803A,OL24390422W
OL7315784A,OL27733867W
OL7115219A,OL20650912W
OL7680979A,OL20893778W
OL687900A,OL3845101W
OL7315784A,OL20018811W
OL7680979A,OL20808172W
OL7315784A,OL18020194W
OL7544679A,OL21833211W
OL2763201A,OL8315355W
OL661093A,OL11327973W
OL577983A,OL11327666W
OL661093A,OL11327982W
OL577983A,OL3467487W
OL7231968A,OL20004814W
OL4728806A,OL11277315W
OL661093A,OL3759285W
OL661093A,OL11327953W
OL661093A,OL3759349W
OL2763201A,OL8315362W
OL4728806A,OL11277304W
OL811660A,OL4233121W
OL4728806A,OL3294436W
OL39485A,OL77775W
OL1069168A,OL4955616W
OL661093A,OL11327987W
OL811660A,OL4233175W
OL4728806A,OL15411754W
OL3319143A,OL3771321W
OL1430285A,OL17850410W
OL7315784A,OL20564687W
OL12660191A,OL20564687W
OL1175057A,OL5236211W
OL661093A,OL11327957W
OL687900A,OL3845160W
OL805240A,OL4215998W
OL194979A,OL1708087W
OL9180803A,OL27245843W
OL7173196A,OL27838518W
OL687900A,OL3845179W
OL577983A,OL3467485W
OL575932A,OL3457933W
OL661093A,OL3759116W
OL665753A,OL11328452W
OL661093A,OL11327897W
OL575932A,OL3457830W
OL808883A,OL4225414W
OL666139A,OL3775449W
OL451969A,OL2959374W
OL849503A,OL4342701W
OL451969A,OL2959315W
OL665753A,OL7990767W
OL687900A,OL3845173W
OL579518A,OL3475982W
OL7231968A,OL17719508W
OL81447A,OL9367818W
OL661093A,OL11327962W
OL666139A,OL3775397W
OL9180803A,OL25515697W
OL584494A,OL11327153W
OL12751471A,OL35223328W
OL4728806A,OL11277334W
OL9180803A,OL27818823W
OL577983A,OL11327658W
OL4728806A,OL11277298W
OL6964763A,OL16014245W
OL11086929A,OL34774028W
OL666139A,OL3775478W
