edition_key,work_key,title,subtitle,edition_name
OL29784098M,OL3775489W,Savage Interlude,,
OL29264502M,OL3775489W,Savage Interlude,,
OL9599446M,OL3775489W,Savage Interlude,,
OL38344800M,OL4233148W,Scandaleuses promesses,,
OL38357055M,OL4233148W,Passionate Scandal,,
OL29793484M,OL4233148W,Passionate Scandal,,
OL9749585M,OL4233148W,Passionate Scandal (Harlequin Romance),,Large Prnt edition
OL53568234M,OL24390422W,Twisted Love,,
OL35152719M,OL24390422W,Twisted Love,,
OL32301034M,OL24390422W,Twisted Love,A Brother's Best Friend Romance,
OL10745631M,OL8315310W,L'Amour Rebelle,,
OL28002476M,OL17850410W,De wrede prins,,
OL46528859M,OL17850410W,The Cruel Prince,,
OL28292985M,OL17850410W,The Cruel Prince,,
OL28478001M,OL17850410W,The Cruel Prince,1,
OL26435884M,OL17850410W,The Cruel Prince,,First Edition
OL38357220M,OL4233186W,Slave to Love,,
OL29152053M,OL4233186W,Slave to Love,,
OL46256805M,OL27733867W,Volver a Empezar / It Starts with Us (Spanish Edition),,
OL40729418M,OL27733867W,É assim que começa,,
OL48198961M,OL27733867W,It Starts with Us,The Highly Anticipated Sequel to IT ENDS with US,
OL43624118M,OL27733867W,It starts with us,,
OL41889877M,OL27733867W,It Starts with Us,,
OL40231682M,OL27733867W,It starts with us ,,
OL40234146M,OL27733867W,It Starts with Us,,
OL47391456M,OL20564687W,Hopeless,Tocando el cielo,
OL49672019M,OL20564687W,Hopeless,,
OL14976827M,OL3775489W,Savage Interlude,,
OL11383501M,OL3775489W,Savage Interlude,,
OL38271588M,OL4233148W,Passionate Scandal,,
OL28974638M,OL4233148W,Passionate Scandal,,
OL9746950M,OL4233148W,Passionate Scandal (Harlequin Romance),,Large Prnt edition
OL9742578M,OL4233148W,Passionate Scandal,,
OL17413527M,OL4233148W,Passionate Scandal,,
OL51686524M,OL24390422W,Amor corrompido ,,
OL49672179M,OL24390422W,twisted love,,
OL48594701M,OL24390422W,Twisted Love,,
OL47163324M,OL24390422W,Twisted Love,,
OL47068116M,OL24390422W,Twisted love,,
OL43974295M,OL24390422W,Twisted Love,,
OL36615850M,OL24390422W,Twisted Love,,
OL9744667M,OL8315310W,Dearest Traitor,,
OL9746871M,OL8315310W,Dearest Traitor,,Large Print Edition
OL48258839M,OL17850410W,The Cruel Prince,,Collector's Edition
OL39633592M,OL17850410W,Cruel Prince,,
OL26940602M,OL17850410W,The cruel prince,,Unabridged.
OL26694821M,OL17850410W,The Cruel Prince,,
OL27292928M,OL17850410W,The Cruel Prince (The Folk of the Air),,
OL42225095M,OL17850410W,Cruel prince ,,
OL28950418M,OL4233186W,Slave to Love,,
OL9747566M,OL4233186W,"Slave To Love (Harlquin Presents, No 1776)",,
OL9745419M,OL4233186W,Slave to Love,,
OL9750790M,OL4233186W,Slave to Love,,Largeprint edition
OL46526687M,OL27733867W,À tout jamais,,
OL47067014M,OL27733867W,It Starts With us,,
OL47067013M,OL27733867W,It Starts With us,,
OL40234145M,OL27733867W,It Starts with Us,,
OL49140417M,OL27733867W,It Starts with Us,A Novel,Large print edition
OL41889781M,OL27733867W,It Starts with Us,,
OL40207502M,OL27733867W,it starts with us,,
OL40005138M,OL27733867W,It starts with us - Colleen Hoover,,
OL41353147M,OL27733867W,It Starts with Us,,
OL39209653M,OL27733867W,It Starts with Us,,
OL38323115M,OL27733867W,It Starts with Us,,
OL37857529M,OL27733867W,It starts with us,,
OL29151999M,OL4233148W,Passionate Scandal,,
OL9752484M,OL4233148W,Passionate Scandal,Harlequin Presents - 1695,Large Print Edition
OL61516903M,OL24390422W,Twisted Love (Collector's Edition),,
OL59829704M,OL24390422W,Twisted Love,,English Edition by LYX
OL59067928M,OL24390422W,Twisted Love,Twisted Livre 1,
OL44319740M,OL24390422W,Twisted 1. Twisted Love,,
OL47276214M,OL24390422W,Twisted 1. Twisted love,,
OL48596355M,OL24390422W,Twisted Love,,
OL47826695M,OL24390422W,Twisted Love,,
OL37985553M,OL24390422W,Twisted Love,,
OL9752371M,OL8315310W,Dearest Traitor,,Large Print Edition
OL9749480M,OL8315310W,Dearest Traitor,,Large Print Edition
OL17388896M,OL8315310W,Dearest Traitor,,
OL59126422M,OL17850410W,הנסיך האכזר,,
OL38538688M,OL17850410W,Cruel Prince,,
OL32234215M,OL17850410W,The Cruel Prince,,
OL28682069M,OL17850410W,El Príncipe Cruel,,
OL26782186M,OL17850410W,The Cruel Prince (The Folk of the Air),,
OL27099606M,OL17850410W,The Cruel Prince (The Folk of the Air),,
OL28153628M,OL17850410W,The Cruel Prince,,
OL38270779M,OL4233186W,Slave to Love,,
OL29783129M,OL4233186W,Slave to Love,,
OL9750254M,OL4233186W,"Slave To Love (Harlquin Presents, No 1776)",,
OL17207889M,OL4233186W,Slave to Love,,
OL9748049M,OL4233186W,Slave to Love,,Largeprint edition
OL40208522M,OL27733867W,Volver a empezar,,
OL40078929M,OL27733867W,It starts with us - Nur noch einmal und für immer,,
OL46526659M,OL27733867W,It starts with us,,
OL37050436M,OL27733867W,It Starts With Us,A Novel,
OL41089127M,OL27733867W,It starts with us,,
OL39651255M,OL27733867W,It Starts with Us,,
OL38059274M,OL27733867W,It Starts with Us,A Novel,
OL54181319M,OL20564687W,Hopeless,,
OL47391457M,OL20564687W,Hopeless,Tocando el cielo,
OL47407550M,OL20564687W,Hopeless,,
OL36719800M,OL77775W,Blue Castle,,
OL36115757M,OL77775W,Blue Castle,,
OL36494660M,OL77775W,Blue Castle Annotated,,
OL36511489M,OL77775W,Blue Castle Annotated,,
OL36463509M,OL77775W,Blue Castle,Literary Fiction,
OL36388502M,OL77775W,Blue Castle Annotated,,
OL36449356M,OL77775W,Blue Castle Annotated,,
OL36173474M,OL77775W,Blue Castle Illustrated,,
OL36117787M,OL77775W,Blue Castle (Illustrated),,
OL36121113M,OL77775W,Blue Castle Annotated,,
OL36033247M,OL77775W,Blue Castle,Classic Edition,
OL35064630M,OL77775W,Blue Castle Annotated,,
OL35192408M,OL77775W,Blue Castle Annotated,,
