edition_key,contributor_name,contributor_role,by_statement,translated_from,translation_of
OL38344800M,,,,eng,Passionate Scandal
OL10745631M,,,,eng,Dearest traitor
OL28002476M,,,,eng,The Cruel Prince
OL26435884M,Sharona Jacobs,Author Photographer,,,
OL26435884M,Sean Freeman,Cover Art,,,
OL26435884M,Karina Granda,Cover Design,,,
OL26435884M,Kathleen Jennings,Illustrator,,,
OL40729418M,Priscila Catão,Translator,,eng,It Starts with Us
OL49672019M,,,,eng,Hopeless
OL14976827M,,,by Carole Mortimer.,,
OL17413527M,,,Michelle Reid.,,
OL26940602M,,,Holly Black,,
OL46526687M,,,,eng,It Starts with Us
OL39209653M,,,,eng,It start with us
OL47276214M,,,Edited by ishrat,,
OL17207889M,,,by Michelle Reid.,,
OL40208522M,Lara Agnelli,Translator,,eng,It Starts with Us
OL23750346M,,,L. M. Montgomery.,,
OL19746209M,,,by L. M. Montgomery.,,
OL17421552M,,,L.M. Montgomery.,,
OL1646145M,,,by Charlotte Lamb.,,
OL15388701M,,,by L.M. Montgomery,,
OL14584199M,,,by L.M. Montgomery.,,
OL18119812M,,,by L.M. Montgomery.,,
OL19889860M,,,by L.M. Montgomery.,,
OL23750345M,,,by L. M. Montgomery.,,
OL22098412M,,,by L.M. Montgomery.,,
OL14977398M,,,Lilian Peake.,,
OL23247589M,,,L.M. Montgomery.,,
OL22727034M,,,Charlotte Lamb.,,
OL21222645M,,,by Charlotte Lamb.,,
OL26335728M,,,by Jane Corrie,,
OL14979995M,,,by Jane Corrie,,
OL61188557M,,,,eng,Falcon's Prey
OL60303596M,,,,eng,Verity
OL48120574M,Claudia Conde,Translator,,eng,Verity
OL57485262M,Colleen Hoover,Author name as appears on this edition,,,
OL27587656M,Piotr Grzegorzewski,Translator,,eng,Verity
OL19699246M,,,Michelle Reid.,,
OL1776472M,,,by Michelle Reid.,,
OL21310545M,,,Sara Craven.,,
OL18050045M,,,by Penny Jordan.,,
OL21366179M,,,Penny Jordan.,,
OL22321605M,,,Penny Jordan.,,
OL39801379M,Katarina Ganslandt,Translator,,eng,Verity
OL39220275M,,,,eng,Verity
OL38406842M,,,,eng,Verity
OL14979815M,,,by Roberta Leigh.,,
OL24372658M,,,by Roberta Leigh,,
OL31992151M,,,Patricia Wilson,eng,The gift of loving
OL22568185M,,,Sara Craven.,,
OL2726049M,,,Penny Jordan.,,
OL14977285M,,,by Penny Jordan.,,
OL14977516M,,,by Anne Mather.,,
OL52742994M,Tahereh mafi,Author name as appears on this edition,.,,
OL25114382M,Kate Simses,Narrator,,,
OL61638992M,Cristina Macía Orio,Translator,,eng,Powerless
OL24917781M,,,Tahereh Mafi,,
OL59414384M,"Demay, Marie",Translator,,,
OL35651243M,Kübra Tekneci,Translator,,eng,Hopeless
OL32419698M,Maud Desurvire,Translator,Colleen Hoover ; traduit de l'américain par Maud Desurvire,eng,Hopeless
