edition_key,number_of_pages,physical_format,physical_dimensions,weight,language
OL29784098M,192,,,,eng
OL29264502M,192,,,,eng
OL9599446M,188,Paperback,,,eng
OL38344800M,,,,,fre
OL38357055M,,,,,eng
OL29793484M,192,,,,eng
OL9749585M,288,Hardcover,8.8 x 6 x 1.2 inches,14.4 ounces,eng
OL35152719M,358,,,0.455 ,eng
OL32301034M,358,paperback,,,
OL10745631M,152,Paperback,,,fre
OL28002476M,349,Hardcover,,,dut
OL46528859M,385,Kindle,,,eng
OL28478001M,370,audio cd,,,eng
OL26435884M,370,Hardcover,,,eng
OL38357220M,,,,,eng
OL29152053M,192,,,,eng
OL46256805M,,,,,spa
OL40729418M,336,Paperback,,,por
OL48198961M,,,,,eng
OL43624118M,,,,,eng
OL47391456M,400,mass market paperback,,,
OL49672019M,379,okładka miękka,,,pol
OL14976827M,188,,,,eng
OL11383501M,,Audio Cassette,,,eng
OL38271588M,,,,,eng
OL28974638M,187,,,,eng
OL9746950M,288,Hardcover,8.8 x 6 x 1.2 inches,14.4 ounces,eng
OL9742578M,,Paperback,7 x 4.2 x 0.8 inches,4 ounces,eng
OL17413527M,192,,,,eng
OL43974295M,358,hardcover,,,
OL36615850M,,,,,eng
OL9744667M,,Paperback,6.5 x 4.2 x 0.8 inches,4 ounces,eng
OL9746871M,288,Hardcover,,,eng
OL48258839M,400,,,,eng
OL39633592M,,,,,eng
OL26940602M,750,[sound recording] /,,,eng
OL26694821M,370,,,,
OL27292928M,,paperback,,,
OL28950418M,186,,,,eng
OL9747566M,186,Paperback,6.8 x 4.2 x 0.6 inches,3.5 ounces,eng
OL9745419M,186,Paperback,6.8 x 4.2 x 0.6 inches,3.5 ounces,eng
OL9750790M,288,Hardcover,8.3 x 5.5 x 0.8 inches,1 pounds,eng
OL46526687M,384,paperback,,,fre
OL49140417M,,,,,eng
OL40207502M,497,paperback,,,
OL40005138M,323,,,,
OL39209653M,,audio cd,,,eng
OL38323115M,,,,,eng
OL37857529M,336,,,,
OL29151999M,192,,,,eng
OL9752484M,288,Hardcover,8.8 x 6 x 1.2 inches,14.4 ounces,eng
OL59829704M,368,paperback,,,eng
OL59067928M,,eBook,,,fre
OL44319740M,,,,,spa
OL47276214M,384,paperback,,,spa
OL37985553M,,,,0.300 ,spa
OL9752371M,288,Hardcover,,,eng
OL9749480M,288,Hardcover,,,eng
OL17388896M,189,,,,eng
OL59126422M,320,,,,heb
OL38538688M,,,,,eng
OL32234215M,,audio cd,,,
OL27099606M,416,,,,
OL28153628M,,audio cd,,,
OL38270779M,,,,,eng
OL29783129M,192,,,,eng
OL9750254M,186,Paperback,6.8 x 4.2 x 0.6 inches,3.5 ounces,eng
OL17207889M,186,,,,eng
OL9748049M,288,Hardcover,8.3 x 5.5 x 0.8 inches,1 pounds,eng
OL40208522M,384,paperback,,,spa
OL40078929M,,hardcover,,,
OL37050436M,352,paperback,,,
OL39651255M,,Hardcover,,,eng
OL38059274M,,,,,eng
OL54181319M,486,,,0.641,eng
OL47391457M,400,mass market paperback,,,
OL47407550M,,paperback,,,
OL36719800M,,,,,eng
OL36115757M,,,,0.623,eng
OL36494660M,,,,0.386,eng
OL36511489M,,,,0.395,eng
OL36463509M,,,,0.409,eng
OL36388502M,,,,0.395,eng
OL36449356M,,,,0.395,eng
OL36173474M,,,,0.414,eng
OL36117787M,,,,0.386,eng
OL36121113M,,,,0.395,eng
OL36033247M,,,,0.395,eng
OL35064630M,,,,0.386,eng
OL35192408M,,,,0.395,eng
OL34349410M,257,,,0.395,eng
OL34290658M,257,,,0.395,eng
OL34314453M,257,,,0.395,eng
OL34252853M,220,,,0.391,eng
OL34288533M,257,,,0.395,eng
OL34201054M,214,,,0.382,eng
OL32734086M,350,paperback bunko,,,
OL27594308M,208,paperback,,,
OL23750346M,260,,,,
OL16236596M,,,,,eng
OL19746209M,264,,,,eng
OL17421552M,321,,,,eng
OL22146128M,217,,,,eng
OL9562522M,192,Mass Market Paperback,6.3 x 4.1 x 0.5 inches,3.2 ounces,eng
OL1646145M,188,,,,eng
OL36776178M,,,,,eng
OL36085169M,,,,0.309,eng
OL36035450M,,,,0.623,eng
OL33467124M,352,,,,eng
OL36594695M,,,,0.405,eng
OL36494671M,,,,0.395,eng
OL36366758M,,,,0.395,eng
OL36164531M,,,,0.395,eng
OL36123559M,,,,0.395,eng
OL36125456M,,,,0.386,eng
OL36148760M,,,,0.395,eng
OL36112487M,,,,0.395,eng
OL36120568M,,,,0.395,eng
OL36033160M,,,,0.395,eng
OL35973962M,,,,0.618,eng
OL35222165M,,,,0.395,eng
OL35121412M,,,,0.395,eng
OL35041920M,,,,0.395,eng
OL34294054M,257,,,0.395,eng
OL34279982M,218,,,0.391,eng
OL34244747M,264,,,0.405,eng
OL30744945M,210,paperback,,,
OL30275467M,217,,,,eng
OL30221213M,217,,,,eng
OL30240049M,217,,,,eng
OL30190568M,256,,,,eng
OL15388701M,309,,,,eng
OL14584199M,309,,,,eng
OL18119812M,309,,,,eng
OL19889860M,264,,,,eng
OL23750345M,309,,,,
