edition_key,publish_date,publish_year,publisher,publish_place,publish_country,series
OL29784098M,2018,2018,"Harlequin Enterprises, Limited",,,
OL29264502M,2015,2015,"Harlequin Mills & Boon, Limited",,,
OL9599446M,1980,1980,Harlequin Books,,,
OL38344800M,2001,2001,Harlequin Enterprises ULC,,,
OL38357055M,2012,2012,Harlequin Enterprises ULC,,,
OL29793484M,2018,2018,"Harlequin Enterprises, Limited",,,
OL9749585M,October 1994,1994,MacMillan Publishing Company,,,
OL53568234M,2023,2023,Mondadori,,,
OL35152719M,2021,2021,Indy Pub,,,
OL35152719M,2021,2021,Boba Press,,,
OL32301034M,"Apr 21, 2021",2021,Ana Huang,,,
OL10745631M,November 1994,1994,Harlequin Books (Mm),,,Collection Azur
OL28002476M,"March 1, 2020",2020,Boekerij,,,The Folk of the Air
OL46528859M,2018,2018,Hot Key Books,Kindle,,The Folk of the Air
OL28292985M,2018,2018,"Little, Brown and Company",,,
OL28478001M,"Jan 02, 2018",2018,Bolinda/Bonnier audio,Great Britain,,The folk of the Air
OL26435884M,2018,2018,"Little, Brown and Company","New York, USA",,The Folk of the Air
OL38357220M,2012,2012,Harlequin Enterprises ULC,,,
OL29152053M,2012,2012,"Harlequin Mills & Boon, Limited",,,
OL46256805M,2023,2023,"Editorial Planeta, S. A.",,,
OL40729418M,18/10/2022,2022,Galera Record,,,
OL48198961M,2023,2023,"Simon & Schuster, Limited",,,
OL43624118M,2022,2022,Atria,,,
OL41889877M,"October , 18 2022",2022,Atria Books,New york,,
OL40231682M,2022,2022,Colleen Hoover,,,
OL40234146M,"October 18, 2022",2022,Atria Books,,,
OL47391456M,"Jan 12, 2023",2023,DEBOLSILLO,,,
OL49672019M,2022,2022,Moondrive,"Polska, Kraków",,
OL14976827M,1979,1979,Mills and Boon,London,xxk,
OL14976827M,1979,1979,Harlequin Mills & Boon,London,xxk,
OL11383501M,June 1989,1989,G K Hall Audio Books,,,
OL38271588M,2013,2013,Harlequin Enterprises ULC,,,
OL28974638M,1994,1994,"Harlequin Mills & Boon, Limited",,,
OL28974638M,1994,1994,Mills & Boon,,,
OL9746950M,October 1994,1994,MacMillan Publishing Company,,,
OL9742578M,"October 1, 1994",1994,Harlequin,,,"Harlequin Presents Plus, No 1695"
OL17413527M,1994,1994,Mills & B.,,enk,
OL51686524M,outubro 2022,2022,clube do autor,,,
OL49672179M,"April 22, 2021",2021,bloom books,,,
OL48594701M,"April 22,2021 ",2021,Boba Press,,,
OL47163324M,2021,2021,Penguin,,,
OL47068116M,2021 on 29th April,2021,piatkus,,,
OL43974295M,"Jul 23, 2022",2022,Ana Huang,,,
OL36615850M,2021,2021,Ana Huang,,,
OL9744667M,"August 1, 1994",1994,Harlequin,,,"Harlequin Presents, No 1685"
OL9746871M,October 1992,1992,Chivers North Amer,,,
OL48258839M,2023,2023,"Little, Brown Books for Young Readers",,,
OL39633592M,2018,2018,"Little, Brown Books for Young Readers",,,
OL26940602M,2018,2018,"Little, Brown Young Readers",,nyu,Folk of the air -- 1
OL26694821M,2018,2018,"Little, Brown Books for Young Readers",,,
OL27292928M,,,Hot Key Books,,,
OL42225095M,2018,2018,Holly black,,,
OL28950418M,1995,1995,"Harlequin Mills & Boon, Limited",,,
OL9747566M,"October 1, 1995",1995,Harlequin,,,
OL9745419M,"October 1, 1995",1995,Harlequin,,,
OL9750790M,November 1995,1995,Thorndike Pr,,,
OL46526687M,"Jan 11, 2023",2023,Hugo Roman,,,
OL47067014M,2022,2022,"Great Britain by Simon & Schuster UK Ltd, 2022",,,
OL47067013M,2022,2022,"Great Britain by Simon & Schuster UK Ltd, 2022",,,
OL40234145M,"October 18, 2022",2022,Atria Books,,,
OL49140417M,2023,2023,Thorndike Press,,,
OL41889781M,2022,2022,Simon & Schuster,,,
OL40207502M,"October 18, 2022",2022,Collen Hoover,,,
OL40005138M,18 October 2022,2022,Atria,,,
OL41353147M,2022,2022,Colleen Hoover,,,
OL39209653M,"Oct 18, 2022",2022,Simon & Schuster Audio and Blackstone Publishing,,,
OL38323115M,2022,2022,"Simon & Schuster, Limited",,,
OL37857529M,2022 ,2022,Simon & Schuster,,,
OL37857529M,2022 ,2022,Simon & Schuster Ltd,,,
OL29151999M,2012,2012,"Harlequin Mills & Boon, Limited",,,
OL9752484M,October 1994,1994,MacMillan Publishing Company,,,"Harlequin Presents - 1695, Mills & Boon Modern (Australia), Mills & Boon Romance - 4062"
OL61516903M,2026-05-26,2026,Piatkus,,,
OL59829704M,"Jun 30, 2023",2023,Lyx,,,
OL59067928M,"October 18, 2023",2023,Hugo Roman,,,
OL44319740M,2022,2022,"Editorial Planeta, S. A.",,,
OL47276214M,"Sep 28, 2022",2022,Crossbooks,,,
OL48596355M,2022,2022,Ana Huang,,,
OL47826695M,April 22 2021,2021,Penguin,,,
OL37985553M,2022,2022,"Little, Brown Book Group Limited",,,
OL9752371M,October 1992,1992,Chivers North Amer,,,
OL9749480M,October 1992,1992,Chivers North Amer,,,
OL17388896M,1992,1992,Mills & Boon,Richmond,enk,
OL59126422M,2021,2021,Modan,Ben Shemen,is,Bene ha-ʻarafel -- 1
