work_key,place
OL18020194W,Boston (Mass.)
OL18020194W,Boston
OL20090688W,Washington D.C.
OL20090688W,London
OL20090688W,White House
OL20090688W,United States of American
OL20090688W,United Kingdom
OL27733867W,Boston
OL2959315W,Sydney
OL2959315W,Australia
OL11327987W,Kuwait
OL1708087W,Cornwall
OL3759285W,London
OL3467487W,England
OL4215998W,Madrid
OL4215998W,Spain
OL4215998W,Valencia
OL4215998W,Barcelona
OL4215998W,Europe
OL4215998W,London
OL4215998W,England
OL4215998W,Torquay
OL4215998W,Scotland
OL4215998W,New York
OL4215998W,JFK Airport
OL4215998W,Manhattan
OL4215998W,Central Park
OL4215998W,Fifth Avenue
OL4215998W,Switzerland
OL4215998W,Barrio de Salamanca
OL4215998W,la Calle de Goya
OL4215998W,Museo del Prado
OL4215998W,El Retiro
OL4215998W,Venezuela
OL4215998W,France
OL4215998W,Chelsea
OL4215998W,California
OL4215998W,Carmel
OL4215998W,la Calle de Serrano
OL4215998W,The Plaza de Espãna
OL4215998W,Guadalajara
OL4215998W,L’Ecole du Vilier
OL4215998W,Lucerne
OL4215998W,Oxford
OL4215998W,Dijon
OL4215998W,Luxembourg
OL4215998W,Brussels
OL4215998W,Rotterdam
OL4215998W,Barajas airport
OL4215998W,Jerusalem
OL4215998W,Wailing Wall
OL4215998W,Dead Sea
OL4215998W,Salamanca
OL4215998W,Cordoba
OL4215998W,Seville
OL4215998W,Guadalquivir
OL4215998W,the Moorish Palace
OL4215998W,the Alcazar
OL4215998W,the Gothic Cathedral
OL4215998W,Giralda Tower
OL4215998W,Malaga
OL4215998W,Murcia
OL4215998W,Alicante
OL4215998W,Puerto Banus
OL5091273W,Caldwell
OL5091273W,New York
OL3457830W,Holland
OL3775449W,London
OL3775478W,London
OL3775478W,England
OL3775478W,Kent
OL11277304W,Essex
OL11277304W,England
OL11327979W,London
OL9367818W,New Zealand
OL5236259W,Brisbane
OL5236259W,Australia
OL11327666W,London
OL20650912W,Crescent City
OL77775W,Prince Edward Island
OL77775W,Canada
OL11327953W,London
OL11277315W,Nice
OL8315354W,Spain
OL4955616W,Australia
OL3294436W,Paris
OL3845148W,London
OL7990767W,Sardinia
OL4233186W,England
OL4233186W,Vienna
OL3467489W,Mexico
OL16481385W,Greece
OL11327962W,London
OL11327962W,Scottish Borders
OL3845179W,Egypt
OL15411754W,York
OL15411754W,Malby
OL15411754W,Europe
OL15411754W,Italy
OL15411754W,Yorkshire
OL15411754W,London
OL15411754W,England
OL15411754W,Essex
OL15411754W,Paris
OL15411754W,America
OL15411754W,New York
OL8315355W,England
OL8315355W,Caribbean
OL3845173W,Italy
OL5236211W,Queensland
OL5236211W,Australia
OL2705619W,Craigievar
OL2705619W,Timaru
OL3770466W,Indonesia
OL3770466W,Bali
