work_key,time_period
OL18020194W,The middle ages
OL20090688W,2019
OL20090688W,2020
OL11327987W,1980's
OL3467487W,21century
OL4215998W,1986
OL5091273W,Contemporary
OL5091273W,2005
OL3775478W,1982
OL11327957W,1986
OL11327666W,1986
OL77775W,1914-1945
OL11327953W,1980's
OL11328452W,Contemporary
OL11328452W,1988
OL4233148W,Contemporary
OL4233148W,1994
OL11277334W,Contemporary
OL3770492W,Contemporary
OL3770492W,1990
OL4233186W,1994
OL4233186W,England
OL15411754W,1979-1981
OL2705619W,1970’s
OL3770466W,1980s
