author_key,author_name,bio,birth_date,death_date,birth_year,death_year
OL1386221A,Alison Kent,"Alison Kent was a born reader, but it wasn't until she reached thirty that she knew she wanted to be a writer when she grew up. Five years later, she made her first sale. Alison lives in a Houston, Texas suburb with her hero, three teenagers and a dog named Smith. And she actually manages to write in the midst of all that madness.",,,,
OL664669A,Sally Wentworth,"Sally Wentworth was the pseudonym of Doris Hornsblow

Doreen was born in Watford, Hertfordshire, England, UK. She married Donald Alfred Hornsblow, with whom she has a son Keith, in 1968, the family lived in Braughing, England.

Doreen began her publishing career at a Fleet Street newspaper in London, where she thrived in the hectic atmosphere. She started writing after attending an evening class course and sold her first novel to Mills & Boon's in 1977, she published her novels under the pseudonym Sally Wentworth. Her novels were principally set in Great Britain or in exotic places like Canary Islands or Greece. Her first works are stand-alone novels, but in 1990s, she decided to create her first series. In 1991, she wrote a book in two parts about the Barclay twins and their same great love, and in 1995, she wrote the Ties of Passion Trilogy about the Brodey family, that have money, looks, style, everything... except love.

Doreen was accounts clerk at Associated Newspapers Ltd. in London, England, and accounts clerk at Consumers' Association in Hertford, England. In 1985, she was the founding chair ot the Hertford Association of National Trust Members, and named its life president. She also collected knife rests and she was member of The Knife Rest Collectors Club.

Doreen Hornsblow died from cancer in 2001, at 64 years.",1936-12-17,2001-08-30,1936,2001
OL68291A,Jude Deveraux,"Jude Gilliam was born September 20, 1947 in Fairdale, Kentucky. She has a large extended family, and is the elder sister of four brothers. She attended Murray State University and received a degree in Art. In 1967, Jude married and took her husband's surname of White, but four years later they divorced. For years, she worked as 5th-grade teacher.

She began writing in 1976 and her first book, The Enchanted land was published in 1977 as Jude Deveraux. Following the publication of her first novel, she resigned her teaching position. Now, she is the author of thirty-one New York Times bestsellers. Jude won readers' hearts with the epic Velvet series, which revolves around the lives of the Montgomery family's irresistible men. Jude's early books are set largely in 15th- and 16th-century England, in which her fierce, impassioned protagonists find themselves in the midst of blood feuds and wars. Her heroines are equally scrappy -- medieval Scarlett O'Haras who often have a low regard for the men who eventually win them over. They're fighters, certainly, but they're also beauties who are preoccupied with survival and family preservation. Jude has also stepped outside her milieu, with mixed results. Her James River trilogy (River Lady, Lost Lady, and Counterfeit Lady) is set mostly in post-Revolution America; the popular, softer-edged Twin of Fire/Twin of Ice moves to 19th-century Colorado and introduces another hunky-man clan, the Taggerts. Deveraux manages to evoke a strong and convincing atmosphere for each of her books, but her dialogue and characters are as familiar as a modern-day soap opera's. ""Historicals seem to be all I'm capable of,"" Jude once said in an interview, referring to a now out-of-print attempt at contemporary fiction, 1982's Casa Grande. ""I don't want to write family sagas or occult books, and I have no intention of again trying to ruin the contemporary market."" Still, Jude did later attempt modern-day romances, such as the lighthearted High Tide (her first murder caper), the contemporary female friendship story The Summerhouse, and the time-traveling Knight in Shining Armor. In fact, with 2002's The Mulberry Tree, Deveraux seems to be getting more comfortable setting stories in the present, which is a good thing, since the fans she won with her historical books are eager to follow her into the future.

Jude married Claude Montassir, with whom she had a son, Sam Alexander Montassir in 1997. They were eventually divorced. On Oct. 6th, 2005, Sam died at the age of eight in a motorcycle accident. Jude has lived in several countries and all over the United States. She currently lives in Charlotte, North Carolina and also has a home in the medieval city of Badolato, Italy.",20 September 1947,,1947,
OL387298A,Erich Segal,,16 June 1937,17 January 2010,1937,2010
OL1423504A,Melanie Milburne,,,,,
OL240796A,Barbara Metzger,"Barbara Metzger is the author of over three dozen books and a dozen novellas. Her novels, mostly set in Regency-era England, have won numerous awards, including the Romance Writers of America RITA, the National Reader's Choice Award, and the Madcap award for humor in romance writing. In addition, Barbara has won two Career Achievement Awards from Romantic Times Magazine. 
Source: http://www.barbarametzger.com/about_barbara.htm

She has expanded in recent years to writing contemporary romance under her own name, as well as fantasy fiction (the Willow Tate series) under the pen name Celia Jerome.

Metzger lives in Eastern Long Island.",1944,,1944,
OL3308617A,Jr Michael Landon,"Michael Landon Jr. is an American actor, director, writer, and producer.",1964,,1964,
OL10082084A,Jessa Hastings,,,,,
OL26680A,Louisa May Alcott,"Louisa May Alcott was born in Germantown, Pennsylvania on November 29, 1832.  She and her three sisters, Anna, Elizabeth, and May, were educated by their father, philosopher and teacher Bronson Alcott, and raised on the practical Christianity of their mother, Abigail May.

Louisa spent her childhood in Boston and in Concord, Massachusetts, where her days were enlightened by visits to Ralph Waldo Emerson’s library, excursions into nature with Henry David Thoreau, and theatricals in the barn at ""Hillside"".

Like her character, ""Jo March"" in Little Women, young Louisa was a tomboy.  ""No boy could be my friend till I had beaten him in a race,"" she claimed, ""and no girl if she refused to climb trees, leap fences ...""

For Louisa, writing was an early passion.  She had a rich imagination and often her stories became melodramas that she and her sisters would act out for friends.  Louisa preferred to play the ""lurid"" parts in these plays --""the villains, ghosts, bandits, and disdainful queens.""

At age 15, troubled by the poverty that plagued her family, she vowed:   ""I will do something by and by.  Don’t care what, teach, sew, act, write -- anything to help the family; and I’ll be rich and famous and happy before I die, see if I won’t!""",29 November 1832,6 March 1888,1832,1888
OL40773A,Margaret Moore,,,,,
