author_key,author_alternative_name
OL1386221A,Michaila Callan
OL1386221A,ALISON KENT
OL664669A,Doreen Hornsblow
OL68291A,Jude Gilliam White Montassir
OL68291A,deveraux-jude
OL68291A,"Jude Deveraux,Jude Deveraux"
OL68291A,Deveraux Jude
OL387298A,Erich W. Segal
OL387298A,Erich Wolf Segal
OL387298A,Segal Erich
OL240796A,Celia Jerome
OL3308617A,Michael Landon Jr
OL3308617A,"Michael Landon, Jr."
OL3308617A,Michael Landon
OL3308617A,Michael Landon Jr.
OL26680A,Louisa M. Alcott
OL26680A,"Alcott,Louisa May オルコット,ルイーザ・メイ"
OL26680A,Louisa Alcott
OL26680A,Lousia May Alcott
OL3352964A,"Walsh, Chloe(Fiction writer)"
OL3352964A,"Walsh, Chloe"
OL3352964A,"Walsh, Chloe (Fiction writer)"
OL391839A,James A. Baldwin
OL391839A,James Arthur Baldwin
OL391839A,James Baldwin PhD
OL7364499A,Renée Ahdieh
OL7364499A,renee ahdieh
OL7364499A,RENEE AHDIEH
OL22994A,Jean Catherine Coulter Pogany
OL22994A,Catherine COULTER
OL22994A,Coulter Catherine
OL22994A,CATHERINE COULTER
OL22994A,Catherine R. Coulter
OL22994A,"COULTER,CATHERINE"
OL22994A,Кэтрин Коултер
OL22994A,"Ku ke (Coulter, Catherine)"
OL7387940A,B. Chambers
OL7387940A,"Chambers, B."
OL7387940A,"Chambers, Becky"
OL20921A,Lillian Lincoln‏
OL659926A,natalie fox
OL1386238A,Jennifer Ashley Gardner
OL1386238A,Jennifer Ashley
OL1386238A,Ashley Gardner
OL1386238A,Allyson James
OL1423334A,"LAWRENCE, KIM. FULLER, LOUISE. ANDERSON, NATALIE"
OL1423334A,"JAMES, JULIA. LAWRENCE, KIM"
OL1423334A,"Rivers, Natalie, Templeton, Karen, Wood, Sara, Lawrence, Kim"
OL661093A,Penelope Jones Halsall
OL661093A,Caroline Courtney
OL661093A,Lydia Hitchcock
OL661093A,Melinda Wright
OL661093A,Penny Jordan
OL661093A,Annie Groves
OL661093A,Penny Jordan ... [et al.]
OL661093A,penny-jordan
OL661093A,Jordan Penny
OL661093A,"JORDAN,PENNY"
OL661093A,Jordan; Penny
OL661093A,Penny.- JORDAN
OL85306A,Laura Esquirel
OL85306A,"Esquivel, Laura. Christensen, Carol, Translator.Christensen, Thomas, Translator."
OL19597A,Nicholas Sparkes
OL19597A,Shi pai ke
OL10324088A,"Tomforde, Liz"
OL764048A,Gloria Isabel Bevan
OL764048A,Fiona Murray
OL2678446A,Jennifer (Jennifer Lynn) Barnes
OL2674707A,Lynsey STEVENS
OL2674707A,lynsey stevens
OL1385655A,"STEPHENS,SUSAN"
OL218443A,Joan Smith
OL218443A,JOAN SMITH
OL218443A,"Smith, Joan"
OL7955772A,Montserrat Triviño González
OL228969A,debbie macomber
OL228969A,Деби Макомбър
OL228969A,"Макомбер, Д. Дебби"
OL228969A,"מקומבר, דבי"
OL228969A,ديبي ماكومبر ‏
OL228969A,ماكومبر، ديبي
OL228969A,デビー・マッコーマー
OL228969A,"マッコーマー, デビー"
OL811660A,"Reid, Michelle"
OL1344854A,Norma Kathleen Hemming
OL1344854A,Norma K. Hemming
OL1344854A,Norma Hemming
OL1344854A,N. K. Hemming
OL1344854A,Nerina Hilliard
OL809096A,Catherine Airlie (pseud.)
OL809096A,Jane Sutherland MacLeod
OL809096A,Jean Sutherland MacLeod Walton
OL884528A,L.J. Smith
OL884528A,l j smith
OL884528A,l.J. Smith
OL884528A,L. J. (Lisa Jane) Smith
OL884528A,Lisa Jane Smith
OL884528A,J. Smith L.
OL884528A,L .J Smith
OL884528A,L .J. Smith
OL884528A,L. J Smith
OL884528A,Lise Jane Smith
OL884528A,L. J. Smith
OL884528A,L J Smith
OL884528A,Smith L. J.
OL884528A,LISA SMITH
OL884528A,Lisa J. Smith
OL884528A,Mrs. Lisa J Smith
OL1386198A,Lucinda Chester
OL1386198A,Evelyn D'Arcy
OL1386198A,Chelsea Miller
OL1386198A,Pamela Rochford
OL1386198A,Pamela Brooks
OL1386198A,Kate Hardy
OL1386198A,Hardy Kate
OL1386198A,Kate HArdy
OL1385638A,GINA WILKINS
OL1385638A,Gina Ferris Wilkins
OL1385638A,Gina F. Wilkins
OL1385638A,"WILKINS,GINA"
OL3850984A,"Probst, Jennifer"
OL3850984A,jennifer probst
OL7825177A,"Yarros, Rebecca"
OL27695A,( YING ) A JIA SHA KE LI SI DI DIAO KE LI YI
OL27695A,A. Christie
OL27695A,Agatha C. Mallowan
OL27695A,Agatha Christie Mallowan
OL27695A,Agatha Mary Clarissa Miller
OL27695A,"Dame Agatha Mary Clarissa Christie, Lady Mallowan, DBE"
OL27695A,Ke li si di
OL27695A,Kelisidi
OL27695A,AGATHE CHRISTE
OL27695A,Christie Agata
OL27695A,Agata Christie
OL27695A,AGHATHA CHRISTIE
OL27695A,Christie-A
OL27695A,Agatha Christe
OL27695A,A Christie
OL27695A,Agatha Christy
OL27695A,Agratha Christie
OL27695A,aghata christie
OL27695A,Agatha Christi
OL27695A,Agatha Christine
OL27695A,Agatha Christic
OL27695A,Afatha Christie
OL27695A,Agatha christine
OL27695A,agtha christie
OL27695A,Agtha Christie
OL27695A,"Agatha Christie, Charlotte Perkins Gilman, Dorothy Sayers, Ursula Curtis"
OL27695A,Agatha Christer
OL27695A,A gatha Christie
OL27695A,"agatha christie, w.somerset maugham, dorothy l. sayers"
OL27695A,agatha christine
OL27695A,agalla christe
OL27695A,Ahatha Christie
OL27695A,Agatha Chrisie
OL27695A,Agatha Christie Christie
OL27695A,Agatha Cristie
OL27695A,Aghata Cristie
OL1344858A,Margaret Lilian Graham Malcolm
OL27363A,Gabriel José de la Concordia García Márquez
OL39485A,L. M. (Lucy Maud) Montgomery
OL39485A,L. M Montgomery
OL39485A,L M Montgomery
OL39485A,L M. Montgomery
OL39485A,Maud Montgomery
OL39485A,L. M. Montgomery
OL39485A,L.M. Montgomery
OL39485A,Lucie Maud Montgomery
OL39485A,"(jia) Meng, ge ma li"
OL39485A,L. Montgomery
OL39485A,Lucy M. Montgomery
OL39485A,Lucy Montgomery
OL39485A,L. M. L. M. Montgomery
OL39485A,L. M. L.M. Montgomery
OL39485A,Montgomery L. M.
OL39485A,L. M. 1874-1942 Montgomery
OL39485A,"Montgomery, L. M. Lucy Maud, 1874-1942"
OL39485A,Montgomery L M
OL39485A,L. M. MONTGOMERY
OL39485A,L M Montgomery:
OL39485A,L. M. Lucy Maud Montgomery
OL39485A,L. M. Montgomery Montgomery
OL39485A,L M. 1874-1942 Montgomery
OL39485A,"Montgomery, L. M., P, S R"
OL39485A,montgomery l. m.
OL39485A,L. M. (Lucy Maud) 1874-1 Montgomery
OL39485A,Montgomery L M (Lucy Maud)
OL39485A,L M MONTGOMERY
OL39485A,Lucy Maud Montgomery L. M. Montgomery
OL39485A,L. M MONTGOMERY
OL39485A,"Montgomery, Lucy Maud, Montgomery, L. M."
OL39485A,Lucy (L. ) Maud (M. ) Montgomery
OL39485A,Montgomery L. M
OL39485A,Montgomery Lucy Maud
OL39485A,Lucy Maud Montogmery
OL39485A,Lucy Maud. Montgomery
OL39485A,Lucy Maud MONTGOMERY
OL39485A,Lucy Maud Montogomery
OL39485A,"(jia) Meng, ge ma li (Montgomery, Lucy Maud"
OL39485A,Lucy Maud Mntgomery
OL39485A,LUCY MAUD MONTGOMERY
OL39485A,"Lucy Maud Montgomery,L.M. Montgomery"
OL39485A,Lucy Maud Lucy Maud Montgomery
OL39485A,"Lucy Maud, Montgomery,"
OL39485A,Lucy Maud Montgomery`
OL39485A,Lucy Maud Lucy Maud
OL39485A,Lucy Maud Montgomery Montgomery
OL39485A,Lucy Maud Montgomery CBE
OL39485A,MONTGOMERY LUCY MAUD
OL39485A,Lucy Maud LUCY MAUD MONTGOMERY
OL39485A,"Montgomery, Lucy Maud"
OL39485A,"MONTGOMERY,LUCY MAUD"
OL39485A,"Montgomery,Lucy Maud"
OL39485A,lucy maud montgomery
OL39485A,LM Montgomery
OL39485A,Lm Montgomery
OL39485A,Lucy Maude Montgomery
OL39485A,LUCY MONTGOMERY
OL39485A,LUCY MAUDE MONTGOMERY
OL39485A,Lucy M. montgomery
OL39485A,Lucy MONTGOMERY
OL39485A,Lucy M. . Montgomery
OL39485A,Lucy Maudd Montgomery
OL39485A,lucy moud Montgomery
OL39485A,L.M Montgomery
OL39485A,L Montgomery
OL39485A,"(jia) Meng, ge ma li (Montgomery, L.)"
OL39485A,L.m. Montgomery
OL39485A,L. Maud Montgomery
OL39485A,Luci Maud Montgomery
OL39485A,LucyMaud Montgomery
OL39485A,L.M. MONTGOMERY
OL39485A,"Montgomery,L.M."
OL39485A,Montgomery L.M.
OL39485A,R.M. Menggemali
OL39485A,Menggemali
OL39485A,L.M.Montgomery
OL39485A,L. M. Montgomary
OL39485A,Meng ge ma li
OL39485A,"(jia na da) Meng, ge ma li"
OL39485A,Lucy MaudMontgomery Lucy MaudMontgomery
OL39485A,L.M.Montgomery:
OL39485A,Emily Climbs
OL39485A,Lucy Montgomer
OL39485A,L. M. M. ontgomery
OL39485A,L. M. Montgomery&nbsp;
OL39485A,Locy Montgomery
OL39485A,l.m. montgomery
OL39485A,L.M. MOntgomery
OL39485A,L.M MOntgomery
OL39485A,"Lucy, Maud Montgomery"
OL39485A,Maud Lucy Montgomery
OL39485A,Lucy Maud Montgomery Maud Montgomery
OL39485A,Lucy M. Lucy M. Montgomery
OL39485A,L M 1874-1942 Montgomery
OL39485A,"L. M. Montgomery,Giancarlo Malagutti,C. W. Cooke"
OL715095A,Day LeClaire
OL715095A,Day. Leclaire
OL715095A,DAy LeClaire
OL7404795A,ADAM SILVERA & BECKY ALBERTALLI
OL7404795A,adam silvera
OL7404795A,ADAM SILVERA
OL667523A,MARY WIBBERLEY
OL667523A,Mary Wibberly
OL667523A,Mary Wibgerley
OL4759584A,Sally Kinsey-Miles Beauman Howard
OL4759584A,Sally Beauman
OL4759584A,Vanessa James
OL18319A,"(mei) Ma, ke tu wen"
OL18319A,"(mei) Tuwen, Make"
OL18319A,Clemens Samuel
OL18319A,M. Twain
OL18319A,Ma ke tu wen
OL18319A,Make Tuwen
OL18319A,MakeTuwen
OL18319A,Marc Twain
OL18319A,Māku Tuein
OL18319A,Richmond Croom Beatty
OL18319A,Sameul Langhorne Clemens
OL18319A,Samuel Clemens
OL18319A,Samuel L. Clemens
OL18319A,Samuel Langhorne Clemens
OL18319A,Sculley Bradley
OL18319A,Sieur Louis Conte
OL18319A,Sieur Louis de Conte
OL18319A,Tu wen
OL18319A,Tuwen Make
OL18319A,М.Твен
OL18319A,Марк Твен
OL18319A,"Mark Twain, Zerrin Ozalp Oztarhan, Muge Kalender, Azadeh Ramezani"
OL18319A,"Mark Twain, O. Henry , Edgar Allan Poe, Jack London"
OL18319A,Mark Twain R.D. Gooder
OL18319A,"Clemens, Samuel & Kipling, Rudyard"
OL18319A,Mark Twain
OL18319A,"Clemens, Samuel"
OL18319A,Mark Twain; And Notes Introduction Editor Charles Neider
OL18319A,Samuel and Robert Louis Stevenson CLEMENS
OL18319A,Samuel CLEMENS
OL18319A,"Twain, Mark Day, A. Grove;"
OL18319A,"Twain, Mark"
OL18319A,Mark / Richard Sadler (Adapted by) Twain
OL18319A,Mark 1835-1910 Selections 1 Twain
OL18319A,"TWAIN, Mark; LAWRENCE, D.H.; ORWELL, George; SANDBURG, Carl"
OL18319A,"TWAIN, Mark"
