edition_key,work_key,title,subtitle,edition_name
OL58640668M,OL15691389W,Dearest Enemy,,
OL29264371M,OL33714553W,Fear of Love,,
OL37490633M,OL26085843W,The Long Game,,
OL34832881M,OL1822309W,Imprudent Lady,,
OL32211314M,OL1822309W,Imprudent Lady,,
OL4570629M,OL1822309W,Imprudent Lady,,
OL29107446M,OL15175357W,Ruthless Awakening,,
OL28996613M,OL15175357W,Ruthless Awakening,,
OL46536447M,OL34316607W,The Temporary Wife,Luca and Valentina's Story,
OL2378070M,OL2252098W,Replay,,
OL22410872M,OL2252098W,Replay,,
OL24405039M,OL2252098W,Replay,,
OL478679M,OL2252098W,Replay,,1st Quill ed.
OL22741342M,OL2252098W,Replay,,
OL7502900M,OL2252098W,Replay,,
OL38814176M,OL20824826W,Thousand Boy Kisses,,
OL38341591M,OL20824826W,Thousand Boy Kisses,,
OL32903279M,OL20824826W,"Thousand Boy Kisses, A",,
OL32200615M,OL20824826W,Bin Öpücük,,
OL37389110M,OL3498550W,Convenient Bridegroom,,
OL29151701M,OL3498550W,Convenient Bridegroom,,
OL9738530M,OL3498550W,Convenient Bridegroom (Society Weddings),,
OL10241303M,OL3498550W,A Convenient Bridegroom,,Large Print Edition
OL10241791M,OL3845082W,A Suitable Husband,,Largeprint edition
OL10727805M,OL460999W,A Taste of Paradise (Lythway Large Print Books),,Largeprint edition
OL14980279M,OL460999W,Taste of Paradise.,,
OL14977145M,OL460999W,A taste of paradise.,,
OL10739380M,OL5686862W,Mistress Contract (9 To 5),,
OL39471038M,OL82360W,Living Dead In Dallas : A True Blood Novel,2,
OL39872127M,OL82360W,Living Dead in Dallas,,
OL42828658M,OL82360W,Vivir y Morir en Dallas / Living Dead in Dallas,,
OL48138434M,OL82360W,Living Dead in Dallas,,
OL24958024M,OL82360W,Living dead in Dallas,,Ace mass market TV tie-in ed.
OL24088831M,OL82360W,Living Dead in Dallas (Original MM Art) (Sookie Stackhouse/True Blood),,
OL44113187M,OL5691878W,Bedded by Blackmail,,
OL9751023M,OL5691878W,"Bedded by Blackmail (Harlequin Presents, No. 2459)",,
OL24619528M,OL15691389W,Dearest Enemy,,
OL24937287M,OL33714553W,Fear of Love,,
OL9677624M,OL33714553W,Fear of Love,,1st Printing edition
OL35206346M,OL26085843W,The Long Game,,
OL4407694M,OL1822309W,Imprudent Lady,,
OL4412885M,OL1822309W,Imprudent Lady,,
OL29011423M,OL15175357W,Ruthless Awakening,,
OL24238099M,OL15175357W,Ruthless awakening,,
OL48371533M,OL34316607W,Temporary Wife,Liebesroman,
OL2720551M,OL2252098W,Replay,,
OL7526416M,OL2252098W,Replay,,
OL16166347M,OL2252098W,Replay,,
OL21045049M,OL2252098W,Replay,,
OL24405037M,OL2252098W,Replay,,
OL20115606M,OL2252098W,Replay,roman,
OL9817147M,OL2252098W,Replay,,
OL31986466M,OL8315337W,Tender Deceit,,Large Print Edition
OL35687633M,OL20824826W,A Thousand Boy Kisses,,
OL35664504M,OL20824826W,Mil Beijos de Garoto,,
OL28192385M,OL20824826W,Tysiac pocalunków,,
OL28951532M,OL3498550W,Convenient Bridegroom,,
