edition_key,publish_date,publish_year,publisher,publish_place,publish_country,series
OL58640668M,1967,1967,Mills & Boon,London,,Mills & Boon Romance #1083
OL29264371M,2015,2015,"Harlequin Mills & Boon, Limited",,,
OL37490633M,2022,2022,Carina Press,"Toronto, Ontario, Canada",,Game Changers (#6)
OL34832881M,2010,2010,Belgrave House,,,
OL32211314M,"Sep 12, 1978",1978,Fawcett,,,
OL4570629M,1978,1978,Walker,New York,nyu,
OL29107446M,2009,2009,"Harlequin Mills & Boon, Limited",,,
OL28996613M,2009,2009,"Harlequin Mills & Boon, Limited",,,
OL46536447M,"Jan 30, 2023",2023,Ichara Publishing,,,
OL2378070M,1986,1986,Thorndike Press,"Thorndike, Me",meu,
OL22410872M,1987,1987,Grafton,London,xxk,
OL22410872M,1987,1987,Grafton Books,London,xxk,
OL24405039M,1998,1998,Editions du Seuil,"Paris, France",,
OL24405039M,1998,1998,Contemporary French Fiction,"Paris, France",,
OL478679M,1998,1998,Quill,New York,nyu,
OL22741342M,2002,2002,Perennial,New York,nyu,
OL7502900M,"January 1, 1988",1988,Berkley,,,
OL38814176M,2022,2022,"Penguin Books, Limited",,,
OL38341591M,"August 4, 2022",2022,Penguin Books Ltd,,,A Thousand Boy Kisses
OL32903279M,"Aug 21, 2018",2018,Blackstone on Brilliance Audio,,,
OL32200615M,"Apr 13, 2017",2017,Yabancı Yayınları,,,
OL37389110M,2011,2011,Harlequin Enterprises ULC,,,
OL29151701M,2012,2012,"Harlequin Mills & Boon, Limited",,,
OL9738530M,"November 1, 1999",1999,harlequin,,,"Harlequin Presents, No. 2067"
OL9738530M,"November 1, 1999",1999,Harlequin,,,"Harlequin Presents, No. 2067"
OL10241303M,January 2000,2000,Harlequin Books,,,
OL10241791M,September 2001,2001,G. K. Hall & Company,,,
OL10727805M,June 1988,1988,Lythway,,,
OL14980279M,1981,1981,Mills & B.,,xxk,
OL14977145M,1980,1980,Mills & Boon,London,xxk,
OL14977145M,1980,1980,Harlequin Mills & Boon,London,xxk,
OL10739380M,"January 1, 2001",2001,Harlequin,,,"Harlequin Presents, No 2153"
OL39471038M,"Feb 11, 2010",2010,Charlaine Harris,,,
OL39471038M,"Feb 11, 2010",2010,Gollancz,,,
OL39471038M,"Feb 11, 2010",2010,"Orion Publishing Group, Limited",,,
OL39872127M,2010,2010,"Orion Publishing Group, Limited",,,
OL42828658M,2023,2023,Penguin Random House Grupo Editorial,,,
OL48138434M,2009,2009,"Orion Publishing Group, Limited",,,
OL24958024M,2009,2009,Ace Books,New York,nyu,
OL24958024M,2009,2009,Ace,New York,nyu,
OL24088831M,"March 2, 2010",2010,Ace Trade,,,
OL44113187M,2004,2004,"Harlequin Mills & Boon, Limited",,,
OL44113187M,2004,2004,Harlequin Mills & Boon,,,
OL9751023M,"April 1, 2005",2005,Harlequin,,,
OL24619528M,"1967, fifth printing 1980",,Harlequin,Winnipeg,xxk,"Harlequin romance, 1083"
OL24937287M,1980,1980,Harlequin,Toronto,onc,Harlequin books
OL24937287M,1980,1980,Harlequin,New York,onc,Harlequin books
OL24937287M,1980,1980,Harlequin Books,Toronto,onc,Harlequin books
OL24937287M,1980,1980,Harlequin Books,New York,onc,Harlequin books
OL9677624M,1980,1980,Harlequin Books,,,
OL35206346M,2022,2022,Harlequin Enterprises ULC,,,
OL4407694M,1978,1978,J. Curley,"South Yarmouth, Ma",mau,A Regency romance.
OL4412885M,1979,1979,G. K. Hall,Boston,mau,
OL29011423M,2009,2009,"Harlequin Mills & Boon, Limited",,,
OL24238099M,2009,2009,Harlequin,Toronto,onc,Harlequin presents -- 2863
OL24238099M,2009,2009,Harlequin,New York,onc,Harlequin presents -- 2863
OL48371533M,2023,2023,Ichara Publishing,,,
OL2720551M,1986,1986,Arbor House,New York,nyu,
OL7526416M,April 1996,1996,Ace Books,,,
OL21045049M,1986,1986,Arbor House,New York,nyu,
OL24405037M,2009,2009,"Business Weekly Publications, division of Cíte Publishing",Taiwan,,
OL20115606M,1990,1990,Seuil,Paris,fr ,Points. Roman -- R390
OL20115606M,1990,1990,Points Seuil,Paris,fr ,Points. Roman -- R390
OL9817147M,"April 1, 1988",1988,Seuil,,,
OL31986466M,1995,1995,Harlequin Books,Toronto,onc,Harlequin romance -- 210
OL31986466M,1995,1995,Harlequin Books,New York,onc,Harlequin romance -- 210
OL35687633M,"Jul 01, 2016",2016,Blackstone Publishing,,,
OL35664504M,"Nov 13, 2017",2017,Outro Planeta,,,
OL28192385M,"Jan 01, 2017",2017,Filia,,,
OL28951532M,1999,1999,"Harlequin Mills & Boon, Limited",,,
OL28951620M,1999,1999,"Harlequin Mills & Boon, Limited",,,Society Wedding
OL10692218M,"September 1, 2001",2001,Harlequin,,,"Romance, 3667"
OL10740030M,"September 1, 2001",2001,Harlequin,,,"Harlequin Romance Larger Print, No 513"
OL24964365M,2001,2001,Mills & Boon,Richmond,enk,
OL35665801M,"Nov 14, 2007",2007,Recorded Books,,,
OL37804158M,"Aug 04, 2009",2009,Ace,,,
OL24272690M,2009,2009,"Penguin USA, Inc.",New York,nyu,
OL3281843M,2002,2002,Ace Books,New York,nyu,
OL3281843M,2002,2002,Berkley Pub. Group,New York,nyu,
OL9748257M,"April 1, 2005",2005,Harlequin,,,
OL9750260M,"July 13, 2005",2005,Thorndike Press,,,
OL9750699M,"February 4, 2005",2005,Harlequin Mills & Boon,,,
OL17165663M,1986,1986,Mills & Boon,London,xxk,Best seller romance -- c546
OL14977033M,1980,1980,Mills and Boon,London,xxk,
OL14977033M,1980,1980,Harlequin Mills & Boon,London,xxk,
OL29758384M,2017,2017,"Harlequin Enterprises, Limited",,,
OL45680087M,1980-01-01,1980,Harlequin,,,
OL57592156M,2024,2024,Harlequin Enterprises ULC,,,
OL7876749M,August 2003,2003,Walker & Company,,,
OL37090961M,2009,2009,"Harlequin Mills & Boon, Limited",,,
OL29569656M,2009,2009,"Harlequin Enterprises, Limited",,,
OL24307107M,2009,2009,Harlequin,"Toronto, Ontario",nyu,
OL51049410M,2024,2024,"Sourcebooks, Incorporated",,,
OL50962202M,2024,2024,"Sourcebooks, Incorporated",,,
OL24405035M,2004,2004,Wilhelm Heyne Verlag,Germany,,
OL7883287M,1988,1988,Grafton,,,
OL24934984M,1995,1995,Harlequin Books,Toronto,onc,Harlequin romance -- 3364
OL24934984M,1995,1995,Harlequin Books,New York,onc,Harlequin romance -- 3364
OL10691957M,"May 1, 1995",1995,Harlequin,,,"Harlequin Romance - 3364, Harlequin Romance Large Print - 3364 ,Mills & Boon Romance - 4199"
OL48281931M,2023,2023,"Sourcebooks, Incorporated",,,
OL32903278M,"Mar 14, 2016",2016,CreateSpace Independent Publishing Platform,,,
OL29247272M,2013,2013,"Harlequin Mills & Boon, Limited",,,
OL43501877M,2013-06-07,2013,Mills & Boon Vintage 90s Modern,,,
OL38274182M,2014,2014,Harlequin Enterprises ULC,,,
OL24976228M,2001,2001,Mills & Boon,Richmond,enk,
OL24221358M,1981,1981,Harlequin,Toronto,onc,Harlequin romance
OL24221358M,1981,1981,Harlequin,Los Angeles,onc,Harlequin romance
OL29071557M,2011,2011,"Orion Publishing Group, Limited",,,
OL32025998M,"Mar 11, 2008",2008,"Recorded Books, Inc. and Blackstone Publishing",,,
OL35696232M,"Jan 06, 2009",2009,Ace,,,
OL35696232M,"Jan 06, 2009",2009,"Harris, Charlaine",,,
OL44238255M,2003,2003,Penguin Publishing Group,,,
OL48141374M,2009,2009,"Orion Publishing Group, Limited",,,
OL8920089M,"April 1, 2004",2004,Orbit,,,Southern Vampire (2)
OL8920089M,"April 1, 2004",2004,Time Warner Books Uk,,,Southern Vampire (2)
OL3300207M,2005,2005,Wheeler,"Waterville, Me",meu,
OL3300207M,2005,2005,Chivers,"Waterville, Me",meu,
OL24229923M,March 26. 2002,2002,Ace Books,,,
OL24247888M,2010,2010,Harlequin,"Toronto, Ontario",nyu,
OL34015822M,2006,2006,"Recorded Books, Inc.",,,
OL34018295M,1995,1995,Turtleback,,,
OL34049125M,2017,2017,CreateSpace Independent Publishing Platform,,,
OL34060673M,2018,2018,CreateSpace Independent Publishing Platform,,,
OL34065110M,2017,2017,CreateSpace Independent Publishing Platform,,,
OL34075626M,2017,2017,CreateSpace Independent Publishing Platform,,,
OL34081694M,2018,2018,CreateSpace Independent Publishing Platform,,,
OL34127151M,2020,2020,Independently Published,,,
OL34136431M,2020,2020,Independently Published,,,
OL34176088M,2020,2020,Independently Published,,,
OL27201705M,2015,2015,,,ru,Po kom zvoni︠a︡t kolokola
OL22562292M,1983,1983,Charnwood,Leicester,xxk,Charnwood library series
OL22570198M,1976,1976,Triad/Panther,London,enk,
OL13647076M,1949,1949,(Librairie Ge ne rale Franc ʹaise),(Paris),fr ,Le livre de poche; 220
OL13794887M,1927,1927,Jonathan Cape,London,xxk,
OL23243612M,1986,1986,Collier Books,New York,nyu,A Scribner classic
OL16691666M,1990,1990,Omnigraphics,Detroit,miu,Archive of literary documents -- 2
OL7949109M,"October 17, 2006",2006,Scribner,,,
OL4916602M,1977,1977,Franklin Library,"Franklin Center, Pa",pau,The 100 greatest masterpieces of American literature
OL2723976M,1986,1986,Collier Books,New York,nyu,A Scribner classic
OL23238391M,1954,1954,C. Scribner's Sons,New York,nyu,
OL9144029M,"April 30, 2003",2003,Debate Editorial,,,
OL17896403M,1994,1994,Arrow Books,London,enk,
OL6328818M,1930,1930,Grosset & Dunlap,,xx ,
OL13001992M,June 1989,1989,Planeta,,,
OL9801395M,June 1983,1983,Lectorum Pubns Inc (J),,,
OL18665966M,,,Musa sa,Warszawa,pl ,
OL9433645M,October 1999,1999,Tandem Library,,,
OL7953213M,"October 17, 2006",2006,Simon & Schuster Audio,,,
OL7320148M,"August 18, 1994",1994,Arrow Books Ltd,,,
OL9274797M,"August 18, 1994",1994,Arrow Books Ltd,,,Arrow Classic
OL34025414M,2006,2006,"Recorded Books, Inc.",,,
OL34039541M,2018,2018,CreateSpace Independent Publishing Platform,,,
OL34089747M,2018,2018,Independently Published,,,
OL34146363M,2020,2020,Independently Published,,,
OL34184182M,2022,2022,"Clydesdale Press, LLC",,,
OL32844238M,1972,1972,Pan Books Ltd,London,enk,
OL28192482M,"Jun 04, 1967",1967,Jonathan Cape,,,
OL28310932M,"Feb 27, 2015",2015,Rowohlt Taschenbuch,,,
