author_key,author_name,bio,birth_date,death_date,birth_year,death_year
OL579518A,Robyn Donald,"Robyn Elaine Donald was born on 14 August 1940 in Northland, New Zealand, she was the oldest in her family, and as a child she thrilled her four sisters and one brother with bloodcurdling adventure tales, usually very like the latest book she'd borrowed from the library. She married and worked as teacher during years.

Robyn owes her writing career to two illnesses. The first was a younger sister's flu. Her sister was living with her husband and her and spent most of that winter acquiring, suffering, and recovering from various infections. One day she croaked that she had read everything on Robyn's bookshelves, so would She please buy her something cheerful and sustaining. Robyn found three paperbacks one Mills & Boon Modern Romance novel and a couple of other romances. Robyn read them, too, of course, and so enjoyed them she spent the next couple of years hunting down more Mills & Boon books. This was much more difficult then than it is today, so she decided to write her own, and for the following busy 10 years she wrote and hoped that one day. She'd finish a manuscript good enough to send off. The second illness was her husband's, and it was bad a heart attack. He was so young it terrified them all. While he was recovering he suggested that Robyn finish the manuscript She was writing and send it off. It wasn't a perfect manuscript, but the doctor had said to humour him, so she finished it, edited it as best she could, and sent it off. Three months later, she was astounded to read a letter from the Mills & Boon saying that if she made a few revisions they would buy her novel Bride at Whangatapu. Published since 1977, Robyn left teaching to become a full-time writer after her first three books had been accepted.

Robyn sees her readers as intelligent women who insist on accurate backgrounds, so she spends time researching as well as writing. She sometimes thinks that writing is much like gardening. It's a similar process creating landscapes for the mind and emotions from the seeds of ideas and dreams and images. Both activities can also lead to moments of extreme delight, moments of total despair, and backache. Now Robyn is living in the Bay Islands. She continues writing, and also finds time for a very supportive husband, two adult children and their partners, a granddaughter and her mother, not to mention the member of the family that keeps her fit, a loud, cheerful, and ruthlessly determined ""almost"" Labrador dog.

If you'd like to contact her, Robyn Donald can be reached at: P.O. Box 18240, Glen Innes, Auckland, New Zealand.",14 August 1940,,1940,
OL7609060A,Sally Thorne,,1981,,1981,
OL584494A,Lilian Peake,"Lilian Margaret Peake was born on 25 May 1924 in London, England, UK. During the World War II, she moved to the countryside. 

Her early ambition was to be a journalist, and she ended up working at various newspapers and magazines around England. She also married and started a family, and eventually she decided start to writing romance novels. She wrote over 65 romance novels for Mills & Boon from 1971 to 1996 as Lilian Peake.

Lilian passed away in 27 May 1997.",25 May 1924,27 May 1997,1924,1997
OL39485A,Lucy Maud Montgomery,"Lucy Maud Montgomery CBE, (called ""Maud"" by family and friends) and publicly known as L.M. Montgomery was a Canadian author, best known for a series of novels beginning with *Anne of Green Gables*, published in 1908.

Once published, *Anne of Green Gables* was an immediate success. The central character, Anne, an orphaned girl who was adopted by a a sister and brother duo of Marilla and Matthew, made Montgomery famous in her lifetime and gave her an international following. The first novel was followed by a series of sequels with Anne as the central character. The novels became the basis for the highly acclaimed 1985 CBC television miniseries, *Anne of Green Gables* and several other television movies and programs, including Road to Avonlea, which ran in Canada and the U.S. from 1990-1996.She also wrote a couple of other short series of books; 'Chronicles of Avonlea', 'Further Chronicles of Avonlea', 'The Story Girl' (the sequel to it was 'The Golden Road') , 'The Blue Castle' are some of the other books that she has written..She also wrote a 3 book series namely, 'Emily of New Moon', 'Emily Climbs' and 'Emily's Quest' (a trilogy).She also wrote, 'Akin to Anne', 'Kilmeny of the Orchard', 'Jane of Lantern Hill' and 'The Blythe's' are quoted ..she also wrote short stories compilations..'At the Alter', a matrimonial tales collection and tales of the sea were some of the books of short stories she has written..A book that has not been followed by a sequel is 'Magic for Marigold'...Another book series by the famous Montgomery consists of 'Pat of Silver Bush'  and 'Mistress Pat'.",1874,1942.,1874,1942
OL2674707A,Lynsey Stevens,,,,,
OL584493A,Lindsay Armstrong,"Lindsay Armstrong was born in South Africa. She grew up with three ambitions: to become a writer, to travel the world, and to be a game ranger. She didn't achieve the last one, but her fascination for wildlife and that special something about Africa and its big game still remains with her. When she went to work it was in travel, at an agency and an airline, and this started her on the road to seeing the world.

Lindsey met her New Zealand-born husband, who had been working in West Africa, when he was on his way home through Johannesburg. He did go home but in a matter of weeks he was back in South Africa, and six months later they were married. Three of their five children were born in South Africa. Then one in London and one in Australia, after they made the decision to emigrate from South Africa.

It wasn't until her youngest child started school that Lindsay sat down at the kitchen table determined to tackle her other ambition to stop dreaming about writing and do it! She hasn't stopped since. She's not happy unless she has a book under way, and she's discovered she can write through just about anything. She was published since 1981.

Lindsay and her husband have moved around a lot. They've trained racehorses, farmed, and lived on their boat for six months while they sailed it from the Gold Coast to the Torres Strait and back, an epic voyage! They currently live in Queensland, overlooking the water; they sold their farm, and they're looking around for another boat. She and her husband love to travel and have been back to Africa twice in the past few years. The highlight of one of their trips was a visit to the Serengeti, in Tanzania, where Lindsay did the one thing she swore she would never do: take a ride in a hot-air balloon. She was a nervous wreck as the balloon tottered upright, but will remember it as a unique experience to see the game spreading out on the Serengeti plain beneath her as the sun rose.

""They say you can take someone who was born in Africa out of the bush but you can't take the bush out of someone born there...""

Despite this passion for wildlife and Africa, Lindsay considers Australia her home now and loves the country. She travelled to Sydney to witness the closing weekend of the Olympic Games in September 2000; it made her proud to be an adopted Aussie!",,28 December 2021,,2021
OL575932A,Betty Neels,"Betty Neels was born on September 15, 1910 in Devon to a family with firm roots in the civil service. She said she had a blissfully happy childhood and teenage years, which stood her in good stead for the tribulations to come with the Second World War. She was sent away to boarding school, and then went on to train as a nurse, gaining her SRN and SCM, that is, State Registered Nurse and State Certificate of Midwifery.

In 1939 she was called up to the Territorial Army Nursing Service, which later became the Queen Alexandra Reserves, and was sent to France with the Casualty Clearing Station. This comprised eight nursing sisters, including Betty, to 100 men! In other circumstances, she thought that might have been quite thrilling! When France was invaded in 1940, all the nursing sisters managed to escape in the charge of an army major, undertaking a lengthy and terrifying journey to Boulogne in an ambulance. They were incredibly fortunate to be put on the last hospital ship to be leaving the port of Boulogne. But Betty's war didn't end there, for she was posted to Scotland, and then on to Northern Ireland, where she met her Dutch husband. He was a seaman aboard a minesweeper, which was bombed. He survived and was sent to the south of Holland to guard the sluices. However, when they had to abandon their post, they were told to escape if they could, and along with a small number of other men, he marched into Belgium. They stole a ship and managed to get it across the Channel to Dover before being transferred to the Atlantic run on the convoys. Sadly he became ill, and that was when he was transferred to hospital in Northern Ireland, where he met Betty. They eventually married, and were blessed with a daughter. They were posted to London, but were bombed out. As with most of the population, they made the best of things.

When the war finally ended, she and her husband were repatriated to Holland. As his family had believed he had died when his ship went down, this was a very emotional homecoming. The small family lived in Holland for 13 years, and Betty resumed her nursing career there. When they decided to return to England, Betty continued her nursing and when she eventually retired she had reached the position of night superintendent.

Betty Neels began writing almost by accident. She had retired from nursing, but her inquiring mind had no intention of vegetating, and her new career was born when she heard a lady in her local library bemoaning the lack of good romance novels. There was little in Betty's background to suggest that she might eventually become a much-loved novelist.

Her first book, Sister Peters in Amsterdam, was published in 1969, and by dint of often writing four books a year, she eventually completed 134 books. She was always quite firm upon the point that the Dutch doctors who frequently appeared in her stories were *not* based upon her husband, but rather upon an amalgam of several of the doctors she met while nursing in Holland.

To her millions of fans around the world, Betty Neels epitomized romance. She was always amazed and touched that her books were so widely appreciated. She never sought plaudits and remained a very private person, but it made her very happy to know that she brought such pleasure to so many readers, while herself gaining a quiet joy from spinning her stories. It is perhaps a reflection of her upbringing in an earlier time that the men and women who peopled her stories have a kindliness and good manners, coupled to honesty and integrity, that is not always present in our modern world. Her myriad of fans found a warmth and a reassurance of a better world in her stories, along with characters who touched the heart, which is all and more than one could ask of a romance writer. She received a great deal of fan mail, and there was always a comment upon the fascinating places she visited in her stories. Quite often those of her fans fortunate enough to visit Holland did use her information as an itinerary for their travels!

Betty Neels died peacefully in hospital on June 7, 2001, aged 91. Her career with Mills & Boon and Harlequin spanned 30 years, and she continued to write into her 90th year.",15 September 1910,7 June 2001,1910,2001
OL2763201A,Patricia Wilson,Patricia Wilson (b. 1929) was a popular writer of 53 romance novels in Mills & Boon from 1986 to 2004.,17 December 1929,2005,1929,2005
OL884528A,Lisa Jane Smith,,1965,,1965,
OL12660191A,Maialen Garagarza Urkia,,,,,
