author_key,author_alternative_name
OL7609060A,SALLY THORNE
OL584494A,Lilian Margaret Peake
OL584494A,Lilian Epton
OL39485A,L. M. (Lucy Maud) Montgomery
OL39485A,L. M Montgomery
OL39485A,L M Montgomery
OL39485A,L M. Montgomery
OL39485A,Maud Montgomery
OL39485A,L. M. Montgomery
OL39485A,L.M. Montgomery
OL39485A,Lucie Maud Montgomery
OL39485A,"(jia) Meng, ge ma li"
OL39485A,L. Montgomery
OL39485A,Lucy M. Montgomery
OL39485A,Lucy Montgomery
OL39485A,L. M. L. M. Montgomery
OL39485A,L. M. L.M. Montgomery
OL39485A,Montgomery L. M.
OL39485A,L. M. 1874-1942 Montgomery
OL39485A,"Montgomery, L. M. Lucy Maud, 1874-1942"
OL39485A,Montgomery L M
OL39485A,L. M. MONTGOMERY
OL39485A,L M Montgomery:
OL39485A,L. M. Lucy Maud Montgomery
OL39485A,L. M. Montgomery Montgomery
OL39485A,L M. 1874-1942 Montgomery
OL39485A,"Montgomery, L. M., P, S R"
OL39485A,montgomery l. m.
OL39485A,L. M. (Lucy Maud) 1874-1 Montgomery
OL39485A,Montgomery L M (Lucy Maud)
OL39485A,L M MONTGOMERY
OL39485A,Lucy Maud Montgomery L. M. Montgomery
OL39485A,L. M MONTGOMERY
OL39485A,"Montgomery, Lucy Maud, Montgomery, L. M."
OL39485A,Lucy (L. ) Maud (M. ) Montgomery
OL39485A,Montgomery L. M
OL39485A,Montgomery Lucy Maud
OL39485A,Lucy Maud Montogmery
OL39485A,Lucy Maud. Montgomery
OL39485A,Lucy Maud MONTGOMERY
OL39485A,Lucy Maud Montogomery
OL39485A,"(jia) Meng, ge ma li (Montgomery, Lucy Maud"
OL39485A,Lucy Maud Mntgomery
OL39485A,LUCY MAUD MONTGOMERY
OL39485A,"Lucy Maud Montgomery,L.M. Montgomery"
OL39485A,Lucy Maud Lucy Maud Montgomery
OL39485A,"Lucy Maud, Montgomery,"
OL39485A,Lucy Maud Montgomery`
OL39485A,Lucy Maud Lucy Maud
OL39485A,Lucy Maud Montgomery Montgomery
OL39485A,Lucy Maud Montgomery CBE
OL39485A,MONTGOMERY LUCY MAUD
OL39485A,Lucy Maud LUCY MAUD MONTGOMERY
OL39485A,"Montgomery, Lucy Maud"
OL39485A,"MONTGOMERY,LUCY MAUD"
OL39485A,"Montgomery,Lucy Maud"
OL39485A,lucy maud montgomery
OL39485A,LM Montgomery
OL39485A,Lm Montgomery
OL39485A,Lucy Maude Montgomery
OL39485A,LUCY MONTGOMERY
OL39485A,LUCY MAUDE MONTGOMERY
OL39485A,Lucy M. montgomery
OL39485A,Lucy MONTGOMERY
OL39485A,Lucy M. . Montgomery
OL39485A,Lucy Maudd Montgomery
OL39485A,lucy moud Montgomery
OL39485A,L.M Montgomery
OL39485A,L Montgomery
OL39485A,"(jia) Meng, ge ma li (Montgomery, L.)"
OL39485A,L.m. Montgomery
OL39485A,L. Maud Montgomery
OL39485A,Luci Maud Montgomery
OL39485A,LucyMaud Montgomery
OL39485A,L.M. MONTGOMERY
OL39485A,"Montgomery,L.M."
OL39485A,Montgomery L.M.
OL39485A,R.M. Menggemali
OL39485A,Menggemali
OL39485A,L.M.Montgomery
OL39485A,L. M. Montgomary
OL39485A,Meng ge ma li
OL39485A,"(jia na da) Meng, ge ma li"
OL39485A,Lucy MaudMontgomery Lucy MaudMontgomery
OL39485A,L.M.Montgomery:
OL39485A,Emily Climbs
OL39485A,Lucy Montgomer
OL39485A,L. M. M. ontgomery
OL39485A,L. M. Montgomery&nbsp;
OL39485A,Locy Montgomery
OL39485A,l.m. montgomery
OL39485A,L.M. MOntgomery
OL39485A,L.M MOntgomery
OL39485A,"Lucy, Maud Montgomery"
OL39485A,Maud Lucy Montgomery
OL39485A,Lucy Maud Montgomery Maud Montgomery
OL39485A,Lucy M. Lucy M. Montgomery
OL39485A,L M 1874-1942 Montgomery
OL39485A,"L. M. Montgomery,Giancarlo Malagutti,C. W. Cooke"
OL2674707A,Lynsey STEVENS
OL2674707A,lynsey stevens
OL584493A,Gillian Smith
OL584493A,Gillian Crowe
OL584493A,"Armstrong, Lindsay (Romance fiction writer)"
OL575932A,Betty A. Neels
OL575932A,BETTY NEELS
OL575932A,Betty NEELS
OL575932A,Neels
OL575932A,B. Neels
OL575932A,Batty Neels
OL575932A,"Neels, Etc, Betty"
OL575932A,"Neels,Betty"
OL2763201A,Patricia Wilson
OL2763201A,Patricia Grace Wilson
OL884528A,L.J. Smith
OL884528A,l j smith
OL884528A,l.J. Smith
OL884528A,L. J. (Lisa Jane) Smith
OL884528A,Lisa Jane Smith
OL884528A,J. Smith L.
OL884528A,L .J Smith
OL884528A,L .J. Smith
OL884528A,L. J Smith
OL884528A,Lise Jane Smith
OL884528A,L. J. Smith
OL884528A,L J Smith
OL884528A,Smith L. J.
OL884528A,LISA SMITH
OL884528A,Lisa J. Smith
OL884528A,Mrs. Lisa J Smith
OL1120447A,Jessica Rowley Pell Bird Blakemore
OL1120447A,Jessica Bird
OL1120447A,J. R. Ward
OL1120447A,J.R.. Ward
OL1120447A,J.R. Ward
OL1120447A,J R Ward
OL1120447A,J-R Ward
OL1120447A,WARD J. R
OL1120447A,J.r. Ward
OL1120447A,Ward J. R
OL1120447A,ward-j-r
OL3319143A,Anne Mather (pseud.)
OL3319143A,Cardine Fleming (pseud.)
OL3319143A,Caroline Fleming (pseud.)
OL3319143A,Mildred Grieveson
OL3319143A,Ann Mather
OL194979A,Marjorie Lobb Lewty
OL194979A,Marjorie Lewty
OL811660A,"Reid, Michelle"
OL6976866A,Flora Mildred Kidd
OL577983A,Anne Bushell Thomas Ashurst
OL577983A,Anne Bushell
OL577983A,Anne Thomas
OL577983A,Anne Ashurst
OL577983A,"CRAVEN,SARA"
OL577983A,SARA CRAVEN
OL577983A,sara craven
OL577983A,"Ashurst, Anne"
OL577983A,"Craven, Sara"
OL577983A,"Craven, Sarah"
OL577983A,"Cravenová, Sara"
OL577983A,"Kreiven, Sara"
OL577983A,"Krīfn, Sāra"
OL577983A,Sara Craven (British writer)
OL577983A,"Thomas, Anne"
OL577983A,سارة كريفن
OL577983A,كريفن، سارة،
OL577983A,"クレイヴン, サラ"
OL661099A,Kat Thorpe
OL661099A,"THORPE,KAY"
OL661099A,KAY THORPE
OL661099A,kay thorpe
OL7933673A,"Kent, Rina"
OL12751471A,Gu lingerie
OL12751471A,Gu Linfgfei
OL659964A,Jay Blakeney
OL659964A,Andrea Blake
OL395577A,Ethel Snelson Summers
OL395577A,essie summers
OL1430285A,Holly Riggenbach
OL1430285A,Holly Black.
OL1430285A,HOLLY BLACK
OL1430285A,Black Holly
OL10218224A,H D Carlton
OL10218224A,H.D. Carlton
OL10218224A,H. D CARLTON
OL10218224A,H.D Carlton
OL10218224A,"Carlton, H.D."
OL10218224A,HD Carlton
OL10218224A,H D. Carlton
OL10218224A,Hailey Danielle Carlton
OL892147A,Ida Cook
OL849503A,Rita Shulman Lewin
OL849503A,Janey Scott
OL849503A,Rachel Lindsay
OL849503A,Rozella Lake
OL849503A,ROBERTA LEIGH
OL849503A,roberta leigh
OL808883A,YVONNE WHITTAL
OL808883A,Whittal
OL9096427A,Ani Hazelwood
OL7620131A,Casey Mcquiston
OL81447A,Daphne Clair de Jong
OL81447A,Daphne Clair
OL81447A,Laurey Bright
OL81447A,Claire Lorel
OL81447A,Daphne de Jong
OL81447A,Clarissa Garland
OL236272A,Deborah E. Harkness
OL666139A,C. Mortimer
OL666139A,Mortimer Carole
