author_key,work_key
OL666139A,OL3775449W
OL659964A,OL3754725W
OL1175057A,OL5236260W
OL9180803A,OL25515697W
OL575932A,OL3457756W
OL666139A,OL3775475W
OL7315784A,OL20564687W
OL12660191A,OL20564687W
OL665753A,OL7990767W
OL661093A,OL3759116W
OL687900A,OL3845131W
OL3292941A,OL3498543W
OL9180803A,OL27818823W
OL666139A,OL3775504W
OL687900A,OL3845179W
OL9096427A,OL24178205W
OL6976866A,OL4084680W
OL687900A,OL3845160W
OL584494A,OL11327153W
OL1175057A,OL5236211W
OL661093A,OL3759338W
OL451969A,OL2959374W
OL808883A,OL4225414W
OL665753A,OL11328452W
OL7173196A,OL27838518W
OL1175057A,OL5236243W
OL805240A,OL4215998W
OL577983A,OL11327658W
OL7231968A,OL17719508W
OL4728806A,OL11277302W
OL579518A,OL3476087W
OL2763201A,OL8315332W
OL849503A,OL4342701W
OL3319143A,OL3771243W
OL892147A,OL17311801W
OL24635A,OL21435W
OL451969A,OL2959270W
OL687900A,OL3845168W
OL1175057A,OL5236199W
OL30421A,OL486967W
OL661093A,OL11327950W
OL6964763A,OL21775531W
OL1006974A,OL16481385W
OL575932A,OL3457845W
OL2674707A,OL8032345W
OL3319143A,OL3771297W
OL451969A,OL2959250W
OL2763201A,OL8030401W
OL1175057A,OL5236219W
OL664669A,OL3770471W
OL661093A,OL11327893W
OL729763A,OL3981187W
OL584492A,OL3498690W
OL2763201A,OL8315354W
OL665753A,OL3773973W
OL661093A,OL3759318W
OL661093A,OL11327979W
OL2763201A,OL8315268W
OL665753A,OL3773994W
OL3319143A,OL3771180W
OL4728806A,OL11277296W
OL7315784A,OL19964677W
OL811660A,OL4233186W
OL2763201A,OL8315358W
OL2763201A,OL8315359W
OL577983A,OL11327660W
OL661093A,OL3759185W
OL811660A,OL4233169W
OL579518A,OL3476079W
OL666139A,OL3775489W
OL575932A,OL3457959W
OL687900A,OL3845178W
OL661093A,OL11327953W
OL811660A,OL4233175W
OL4728806A,OL11277315W
OL2763201A,OL8315362W
OL21059A,OL10530605W
OL661093A,OL11327987W
OL7609060A,OL20032935W
OL687900A,OL3845101W
OL577983A,OL3467487W
OL661093A,OL11327970W
OL4728806A,OL11277304W
OL661093A,OL11327991W
OL4728806A,OL3294436W
OL687900A,OL3845170W
OL7115219A,OL20650912W
OL811660A,OL4233121W
OL2763201A,OL8315317W
OL39485A,OL77775W
OL7231968A,OL20004814W
OL2763201A,OL8315347W
OL661093A,OL3759349W
OL3047930A,OL8869211W
OL2763201A,OL8315355W
OL7315784A,OL20018811W
OL665753A,OL3773934W
OL659964A,OL3754835W
OL661093A,OL3759348W
OL661093A,OL3759069W
OL661093A,OL3759285W
OL661093A,OL11327962W
OL451969A,OL2959315W
OL12751471A,OL35223328W
OL661099A,OL3759472W
OL7315784A,OL19705711W
OL3319143A,OL3771221W
OL664669A,OL3770490W
OL81447A,OL9367818W
OL584493A,OL3498845W
OL1430285A,OL17850410W
OL661099A,OL3759468W
OL666139A,OL3775478W
OL575932A,OL3457830W
OL666139A,OL3775397W
OL808883A,OL17809871W
OL808883A,OL20561781W
OL4728806A,OL11277309W
OL11086929A,OL34774028W
OL7991171A,OL25434351W
OL9180803A,OL27245843W
OL4728806A,OL11277334W
OL451969A,OL2959243W
OL194979A,OL1708087W
OL579518A,OL3475982W
OL2763201A,OL8315270W
OL7315784A,OL17444354W
OL6964763A,OL16014245W
OL661093A,OL11327897W
OL577983A,OL3467485W
OL7933673A,OL28181491W
OL661093A,OL11327957W
OL575932A,OL3457933W
OL828193A,OL4273174W
OL4728806A,OL11277298W
OL687900A,OL3845173W
OL2763201A,OL11762243W
OL2763201A,OL8315261W
OL828193A,OL4273160W
OL661093A,OL11327965W
OL4728806A,OL11277293W
OL666139A,OL3775471W
OL666139A,OL3775418W
OL3319143A,OL3771293W
OL811660A,OL4233152W
OL811660A,OL4233148W
OL6964763A,OL21802553W
OL7544679A,OL21833211W
OL687900A,OL3845125W
OL4728806A,OL15411754W
OL7922247A,OL26955716W
OL7680979A,OL20893778W
OL661093A,OL11327982W
OL7315784A,OL18020194W
OL7315784A,OL27733867W
OL7680979A,OL20808172W
OL883651A,OL4440535W
OL7315784A,OL19747970W
OL661093A,OL11327973W
OL664669A,OL3770467W
OL665753A,OL15171703W
OL687900A,OL3845174W
OL1069168A,OL4955616W
OL22168A,OL152332W
OL687900A,OL8433267W
OL1916104A,OL6918872W
OL661093A,OL3759041W
OL4728806A,OL11277333W
OL661093A,OL3735574W
OL577983A,OL11327666W
OL3319143A,OL3771321W
OL661093A,OL3759277W
OL661093A,OL11327946W
OL9180803A,OL24390422W
OL792856A,OL4181997W
OL2763201A,OL11762227W
OL1857390A,OL6794523W
OL2763201A,OL6794523W
OL665753A,OL3773896W
OL664669A,OL3770492W
OL7620131A,OL20090688W
OL661093A,OL3759068W
OL575932A,OL3458001W
OL687900A,OL3845148W
OL849503A,OL4342716W
OL1120447A,OL5091273W
OL664669A,OL3770466W
OL577983A,OL3467489W
OL395577A,OL2705619W
OL3292941A,OL3498612W
OL10218224A,OL27310398W
OL666139A,OL3775507W
OL665753A,OL3773966W
OL577983A,OL3467599W
OL1175057A,OL5236259W
OL2763201A,OL8315310W
OL7315784A,OL20068530W
OL666139A,OL3775425W
OL236272A,OL15456729W
OL884528A,OL277730W
OL579518A,OL3476075W
OL661093A,OL11327968W
