edition_key,work_key,title,subtitle,edition_name
OL29788367M,OL3775449W,Taggart's Woman,,
OL29264472M,OL3775449W,Taggart's Woman,,
OL10280664M,OL3775449W,Taggart's Woman,,
OL9682571M,OL3775449W,Taggart's Woman / Secret Passion,,
OL22612896M,OL3775449W,Taggart's woman.,,
OL9853763M,OL3775449W,Taggart's Woman,,
OL10691112M,OL17311801W,Bargain Wife,,2290 edition
OL39576746M,OL21435W,Amor Redentor,,
OL39581919M,OL21435W,Amor Redentor,,
OL33470829M,OL21435W,Amor Redentor,Una NovelaA Novel,
OL29873195M,OL21435W,Redeeming Love,the Companion Study,
OL29164291M,OL21435W,Redeeming Love,,
OL29492164M,OL21435W,Redeeming Love,,
OL28504945M,OL21435W,Redeeming Love,,
OL27928962M,OL21435W,Redeeming Love,,
OL9049218M,OL21435W,Die Liebe ist stark,,
OL8748409M,OL21435W,Redeeming Love Drive Time Audio(tm),,Abridged edition
OL18420160M,OL21435W,Amor redentor,una novela,
OL24949890M,OL21435W,Redeeming Love,a novel,printing (32)
OL24389148M,OL21435W,Redeeming Love,,1st printing
OL1405352M,OL21435W,Redeeming love,,
OL9788228M,OL21435W,Redeeming Love,,Unabridged edition
OL668881M,OL21435W,Redeeming Love,,"""Redeemed"" version (3)"
OL18285347M,OL21435W,Redeeming Love,A Novel,2007-1st hardcover ed.
OL8748315M,OL21435W,Redeeming Love,,
OL24293314M,OL21435W,Redeeming Love,,
OL8847745M,OL21435W,Redeeming Love,,Paperback with Study Guide edition
OL8875813M,OL21435W,Redeeming Love [Large Print],,Lrg edition
OL8989263M,OL21435W,Redeeming Love,,
OL24975909M,OL2959270W,Pattern of Deceit,,Harlequin romance 1st ed.
OL24939124M,OL2959270W,Pattern of deceit,,Harlequin romance 1st ed.
OL22618271M,OL2959270W,Pattern of Deceit,,
OL1982402M,OL2959270W,Pattern of deceit,,
OL17390856M,OL2959270W,Pattern of Deceit,,
OL22415407M,OL2959270W,Pattern of Deceit,,Large Print Edition
OL10691736M,OL2959270W,Pattern of Deceit,,
OL18357600M,OL3845168W,No holds barred.,,
OL10239059M,OL3845168W,No Holds Barred,,Largeprint edition
OL14978087M,OL3845168W,No holds barred.,,
OL10738330M,OL3845168W,No Holds Barred,,
OL21424688M,OL3845168W,Door trots gebroken.,,
OL21424552M,OL3845168W,Le sorprese non finiscono mai.,,
OL29734595M,OL11327953W,Levelling the Score,,
OL29243038M,OL11327953W,Levelling the Score,,
OL22384649M,OL11327953W,Levelling the score,,
OL9636898M,OL11327953W,Levelling The Score,,
OL20501301M,OL11327953W,Levelling the score,,Large print ed.
OL1882868M,OL11327953W,Levelling the score,,
OL9507637M,OL11327953W,Levelling the Score,,
OL10691234M,OL5236199W,Temple of Fire,,1st edition
OL17215320M,OL5236199W,Temple of Fire,,
OL28974140M,OL4233175W,Dark Side of Desire,,
OL9750982M,OL4233175W,"The Dark Side of Desire (Harlequin Presents, 1533)",,
OL9748216M,OL4233175W,"The Dark Side of Desire (Harlequin Presents, 1533)",,
OL9745901M,OL4233175W,"The Dark Side of Desire (Harlequin Presents, 1533)",,
OL19699246M,OL4233175W,The Dark Side of Desire,,Large Print ed.
OL1776472M,OL4233175W,The Dark Side of Desire,,
OL22619243M,OL11277315W,Twist of fate.,,
OL9587185M,OL11277315W,Twist of Fate,,Largeprint edition
OL21220748M,OL11277315W,Twist of fate,,
OL9774846M,OL11277315W,Twist of Fate,,Harlequin Presents #358
OL11658583M,OL11277315W,Twist of Fate,,Lrg edition
OL8926729M,OL11277315W,Twist of Fate,,Lrg edition
OL20161132M,OL486967W,The princess bride,S. Morgenstern's classic tale of true love and high adventure,
OL377544M,OL486967W,The princess bride,"S. Morgenstern's classic tale of true love and high adventure : the ""good parts"" version abridged",1st Ballantine Books hardcover ed.
OL10686514M,OL486967W,The Princess Bride,,
OL15125290M,OL486967W,The princess bride,,
OL16771051M,OL486967W,The princess bride,"S. Morgenstern's classic tale of true love and high adventure, the ""good parts"" version",
OL7961810M,OL486967W,The Princess Bride,,25 Anniversary Ed edition
OL10683605M,OL486967W,The Princess Bride,,
OL18504626M,OL486967W,The princess bride,S. Morgenstern's classic tale of true love and high adventure,1st Harvest mass market ed.
OL7973920M,OL486967W,Princess Bride,S. Morgenstern's Classic Tale of True Love and High Adventure,Rebound paperback edition
OL9639148M,OL486967W,The Princess Bride,,
OL11558534M,OL486967W,Princess Bride,,
OL8603363M,OL486967W,The Princess Bride,,
OL22184538M,OL486967W,The princess bride,"S. Morgenstern's classic tale of true love and high adventure : the ""good parts"" version",1st Ballantine Books ed.
OL10682557M,OL486967W,The Princess Bride,,
OL9682652M,OL486967W,The Princess Bride,S. Morgenstern's Classic Tale of True Love and High Adventure,Reprint edition
OL8276771M,OL486967W,Princess Bride,S. Morgenstern's Classic Tale of True Love and High Adventure,
OL9598700M,OL486967W,The Princess Bride,S. Morgenstern's Classic Tale of True Love and High Adventure,Reprint edition
OL21920251M,OL486967W,The Princess Bride,"S. Morgenstern's classic tale of true love and high adventure : the ""good parts"" version, abridged",
OL8845011M,OL486967W,The Princess Bride,,Abridged edition
OL18587170M,OL486967W,The princess bride,S. Morgenstern's classic tale of true love and high adventure,1st Harvest mass market ed.
OL7866886M,OL486967W,Princess Bride,,New Ed edition
OL11000892M,OL486967W,Princess Bride,,
OL20947352M,OL486967W,The  Princess Bride,"S. Morgenstern's Classic Tale of True Love and High Adventure : the ""good parts"" version, abridged",1st Ballantine Books mass market ed.
OL23273991M,OL486967W,The princess bride,"S. Morgenstern's classic tale of true love and high adventure : the ""good parts"" version abridged",1st Ballantine Books hardcover ed.
OL7961854M,OL486967W,The Princess Bride,,New Ed edition
OL10684301M,OL486967W,The Princess Bride,,
OL9844175M,OL486967W,The Princess Bride,S Morgenstern's Classic Tale of True Love and High Adventure,25th anniversary edition
OL17892075M,OL486967W,The princess bride,S. Morgenstern's classic tale of true love and high adventure,
OL3704385M,OL486967W,The princess bride,S. Morgenstern's classic tale of true love and high adventure,"30th anniversary ed., 1st trade pbk. ed."
OL10682161M,OL486967W,The Princess Bride,,
OL9738841M,OL486967W,The Princess Bride,S. Morgenstern's Classic Tale of True Love and High Adventure,Reprint edition
OL16378884M,OL8315362W,Perilous Refuge,,
OL16521973M,OL8315362W,Perilous Refuge,,
OL9746575M,OL8315362W,Perilous Refuge,,Largeprint edition
OL9748768M,OL8315362W,Perilous Refuge,,Largeprint edition
OL16522155M,OL8315362W,Perilous Refuge,,
OL9751943M,OL8315362W,Perilous Refuge,,Largeprint edition
OL9737447M,OL8315362W,Perilous Refuge,,
OL22326873M,OL10530605W,Sweet promise,,Large print ed.
OL14979972M,OL10530605W,Sweet promise.,,
OL14976354M,OL10530605W,Sweet promise,,
OL14980601M,OL10530605W,Sweet promise,,
OL24281415M,OL10530605W,Sweet Promise,,
OL10750217M,OL10530605W,Sweet Promise,,
OL7421869M,OL10530605W,Sweet Promise,,
OL7421949M,OL10530605W,Sweet Promise,,
OL11235141M,OL10530605W,Sweet Promise,,
OL21377203M,OL10530605W,Eens zal het morgen zijn.,,
OL10692087M,OL3754725W,The Bartered Bride,,
OL10241180M,OL3754725W,The Bartered Bride,,Large Print Edition
OL28973603M,OL5236260W,North of Capricorn,,
OL9739293M,OL5236260W,North of Capricorn,,
OL20937110M,OL5236260W,North of Capricorn,,Large Print Edition
OL10238995M,OL5236260W,North of Capricorn,,Larger Print Edition?
