edition_key,description,notes,first_sentence
OL37490633M,,,Shane had never wanted anything so badly in his life.
OL46536447M,,Source title: The Temporary Wife: Luca and Valentina's Story (The Windsors),
OL2378070M,,"""Thorndike large print""--P. 4 of cover.",
OL22410872M,,"Originally published, New York , Arbor House, 1986.",
OL478679M,Jeff Winston has many opportunities to relive his life until he gets it right.,,
OL7502900M,,,Jeff Winston was on the phone with his wife when he died.
OL39471038M,,Source title: Living Dead In Dallas: A True Blood Novel: 2,
OL24958024M,"When a vampire enlists the aid of cocktail waitress Sookie Stackhouse to use her telepathic talents to find a missing vampire in Dallas, she agrees to the deal if the vampires promise to behave and to let the humans go unharmed.",Reprint. Originally published: 2002.,
OL24088831M,,,ANDY BELLEFLEUR WAS a drunk as a skunk.
OL24619528M,,Copyright 1951 by the estate of the late L. D. Warren.,
OL4407694M,,Large print ed.,
OL4412885M,,Large print ed.,
OL24238099M,"The grandeur of Penvarnon House is where Rhianna Carlow spent her lonely childhood as the housekeeper's unwanted niece. Now she's not the only guest returning for a wedding --billionaire Diaz Penvarnon is back, seemingly as arrogant and ruthless as ever. Diaz has one duty, to keep common gold-digger Rhianna away from the house. So Diaz, descendant of a Spanish pirate, kidnaps her ... and Rhianna finds herself captive on his luxurious yacht, where her inexperience is no match for Diaz's merciless desire!",,
OL7526416M,,,Jeff Winston was on the phone with his wife when he died.
OL20115606M,,"Traduction de: Replay.

1",
OL9817147M,,,Jeff Winston was on the phone with his wife when he died.
OL31986466M,,"""Larger print.""--Cover.

""First North American publication 1995.""",
OL35664504M,,Source title: Mil Beijos de Garoto (Em Portugues do Brasil),
OL24964365M,,Publisher's no. AC7979.,
OL37804158M,,"Source title: Living Dead in Dallas (Sookie Stackhouse/True Blood, Book 2) (TV Tie-In)",
OL3281843M,,"""Ace mass-market ed"".
""A Southern vampire novel""--Cover.
""Ace fantasy""--Spine.",
OL9750260M,,Harlequin Romance II - Large Print,
OL9750699M,,Modern Romance,
OL7883287M,,,Jeff Winston was on the phone with his wife when he died.
OL10691957M,"Sarah Thorpe's visit to Celine Couvier in France was a strictly limited one; she had promised her dead father to spend a month getting to know the woman he had loved. What she hadn't bargained on was that she should be so strongly attracted to Celine's son, Armand, a sophisticated Frenchman way out of Sarah's league.

The last thing she expects is to fall in love, but fall in love she does...and with Armand Couvier, the kind of man way out of her league. Armand clearly feels something for Sarah, but is it love? He seems to think that Sarah is just a fragile English rose, but soon discovers that this particular rose has thorns! Armand still believes he will easily win the subsequent battle of wills, but he was going to marry Violette. Or will he? He doesn't know that Sarah's not afraid to use a little tender deceit to ensure that she wins the ultimate prize.... Wasn't it time for Sarah to draw back before it was too late?

Original title: Burden of Innocence

Hero: Armand Couvier
Heroine: Sarah Thorpe",,
OL24976228M,,Publisher's no. AC7979.,
OL32025998M,,Source title: Living Dead in Dallas (The Sookie Stackhouse Novels),
OL35696232M,,"Source title: Living Dead in Dallas (Southern Vampire Mysteries, No. 2)",
OL8920089M,,,ANDY BELLEFLEUR WAS a drunk as a skunk.
OL24229923M,"Living Dead in Dallas is the sequel to Dead Until Dark in the new Southern Vampire series from acclaimed mystery author Charlaine Harris. When a vampire asks Sookie Stackhouse to use her telepathic skills to find another missing vampire, she agrees under one condition: the bloodsuckers must promise to let the humans go unharmed. Easier said than done.",,
OL22562292M,,"Originally published as 'The sun also rises' London: Cape, 1927.",
OL22570198M,,"Originally published: as 'The sun also rises', New York : Scribner, 1926  and as 'Fiesta', London : Cape, 1927.",
OL13647076M,,"Originally published: Paris: Gallimard, 1949.",
OL16691666M,,"""A Manly book.""",
