edition_key,contributor_name,contributor_role,by_statement,translated_from,translation_of
OL37490633M,This book is for Shane and Ilya fans. Thanks for making this happen.,Dedicated to,,,
OL4570629M,,,Joan Smith.,,
OL2378070M,,,Ken Grimwood.,,
OL22410872M,,,Ken Grimwood.,,
OL24405039M,Wiliam Morris Agency (New York),Agent,,,
OL24405039M,Guy Caseril,Translator,,,
OL24405039M,Françoise Caseril,Translator,,,
OL478679M,,,Ken Grimwood.,,
OL22741342M,,,Ken Grimwood.,,
OL32200615M,Merve Özcan,Translator,,,
OL24958024M,,,Charlaine Harris,,
OL24937287M,,,Carole Mortimer,,
OL4407694M,,,Joan Smith.,,
OL4412885M,,,Joan Smith.,,
OL24238099M,,,Sara Craven.,,
OL2720551M,,,Ken Grimwood.,,
OL21045049M,,,Ken Grimwood.,,
OL24405037M,"Tracy Fisher, William Morris Agency (New York)",Agent,,,
OL24405037M,Andrew Nurnberg Associates,Agent,,,
OL20115606M,,,Ken Grimwood ; traduit de l'américain par Françoise et Guy Casaril.,,
OL31986466M,,,Patricia Wilson,,
OL35687633M,P J Ochlan,Narrator,,,
OL35687633M,Katie Schorr,Narrator,,,
OL24964365M,,,Jessica Steele,,
OL3281843M,,,Charlaine Harris.,,
OL17165663M,,,Carole Mortimer.,,
OL14977033M,,,by Carole Mortimer.,,
OL24405035M,"Sabine Sträuli, Paul & Peter Fritz AG",Agent,,,
OL24405035M,"Tracy Fisher, William Morris, New York",Agent,,,
OL24934984M,,,Patricia Wilson,,
OL24976228M,,,Jessica Steele,,
OL24221358M,,,by Margaret Mayo.,,
OL3300207M,,,Charlaine Harris.,,
OL27201705M,,,"Ėrnest Kheminguėĭ ; [perevod s angliĭskogo V. Toper, I. Doroninoĭ]",,
OL22562292M,,,Ernest Hemingway.,,
OL22570198M,,,Ernest Hemingway.,,
OL13647076M,,,traduit de l'ame ricain par M.E. Coindreau et pre face  par Jean Pre vost.,,
OL23243612M,,,Ernest Hemingway.,,
OL16691666M,,,Ernest Hemingway,,
OL4916602M,,,Ernest Hemingway ; illustrated by Stan Hunter.,,
OL2723976M,,,Ernest Hemingway.,,
OL23238391M,,,Ernest Hemingway.,,
OL17896403M,,,Ernest Hemingway.,,
OL18665966M,,,Ernest Hemingway.,,
OL32844238M,,,Ernest Hemingway,,
OL26266226M,,,Ernest Hemingway,,
OL19882241M,,,Ernest Hemingway.,,
OL4443588M,,,Ernest Hemingway ; illustrated by Uldis Klavins.,,
OL13912043M,,,Ernest Hemingway.,,
OL1855006M,,,Ernest Hemingway.,,
OL22598821M,,,Ernest Hemingway.,,
OL22144708M,,,Ernest Hemingway.,,
OL6712776M,,,by Ernest Hemingway.,,
OL6140276M,,,von Ernest Hemingway.,,
OL6694268M,,,by Ernest Hemingway.,,
OL1106121M,,,Ernest Hemingway.,,
OL1755469M,,,Johanna Lindsey.,,
OL22253693M,,,by Ernest Hemingway.,,
OL13940775M,,,Ernest Hemingway ; traduzione di Ettore Capriolo ; introduzione di Vincenzo Mantovani.,,
OL20868604M,,,by Ernest Hemingway.,,
OL17885258M,,,Introduction by Henry Seidel Canby.,,
OL1756884M,,,Ernest Hemingway ; introduction by Matthew J. Bruccoli ; illustrated by Richard Powers.,,
OL21615509M,,,Ernest Hemingway.,,
OL850328M,,,Ernest Hemingway.,,
OL974460M,,,Ernest Hemingway.,,
OL6726112M,,,by Ernest Hemingway.,,
OL32665336M,Annemarie Horschitz-Horst,Translator,,eng,The Sun Also Rises
OL979819M,,,Johanna Lindsey.,,
OL23214808M,,,Susan Stephens.,,
OL17375341M,,,by Betty Neels.,,
OL14977254M,,,by Roberta Leigh.,,
OL24224290M,,,Anne Mather.,,
OL17443046M,,,Anne Mather.,,
OL23731539M,,,Charlaine Harris.,,
OL1976505M,,,by Betty Neels.,,
OL10691399M,,,by Amii Lorin,,
OL16423069M,,,by Anne Mather.,,
OL3664332M,,,Charlaine Harris.,,
OL14978382M,,,Lillian Cheatham.,,
OL32141807M,,,by Penny Jordan,,
OL32141808M,,,Penny Jordan,,
OL24411110M,,,Penny Jordan,,
OL26384399M,,,Lynne Graham,,
OL33275294M,Mieke Lubberink,Translator,,eng,
OL22291004M,,,by Kerry Allyne.,,
OL14980494M,,,by Roberta Leigh.,,
OL27132139M,,,Shalian. Halisi zhu ; Cai Xinyu yi =,,
