edition_key,number_of_pages,physical_format,physical_dimensions,weight,language
OL29788367M,192,,,,eng
OL29264472M,192,,,,eng
OL10280664M,190,Paperback,,,eng
OL9682571M,384,Paperback,,,eng
OL22612896M,188,,,,eng
OL9853763M,188,Paperback,,,eng
OL10691112M,,Mass Market Paperback,6.4 x 4 x 0.4 inches,3.2 ounces,eng
OL39576746M,,,,,spa
OL39581919M,,,,,spa
OL33470829M,,,,,spa
OL29873195M,192,,,,eng
OL29164291M,448,,,,eng
OL29492164M,368,,,,eng
OL28504945M,448,,,,eng
OL27928962M,,Digital Audio,,,eng
OL9049218M,,Paperback,8 x 5.4 x 1.3 inches,1.2 pounds,ger
OL8748409M,,Audio cassette,7 x 4.1 x 1.1 inches,6.2 ounces,eng
OL18420160M,399,,,,spa
OL24949890M,479,Paperback,,,eng
OL24389148M,416,Mass Market Paperback,,,eng
OL1405352M,620,,,,eng
OL9788228M,,Audio cassette,,,eng
OL668881M,468,Paperback,,,eng
OL18285347M,479,Hardcover,24 x  x  centimeters,,eng
OL8748315M,486,Paperback,8.8 x 5.9 x 1.5 inches,1.4 pounds,eng
OL24293314M,,E-book,,,eng
OL8847745M,479,Paperback,8.9 x 5.9 x 1.4 inches,1.2 pounds,eng
OL8875813M,768,Paperback,8.3 x 5.5 x 1.4 inches,1.8 pounds,eng
OL8989263M,480,Paperback,7.6 x 5.1 x 1.4 inches,14.9 ounces,
OL24975909M,188,,,,eng
OL24939124M,188,,,,eng
OL22618271M,189,,,,eng
OL1982402M,188,,,,eng
OL17390856M,188,,,,eng
OL22415407M,285,,,,eng
OL10691736M,188,Paperback,,,eng
OL18357600M,192,,,,eng
OL10239059M,288,Hardcover,,,eng
OL14978087M,,,,,eng
OL10738330M,187,Paperback,,,eng
OL21424688M,,,,,dut
OL21424552M,,,,,ita
OL29734595M,192,,,,eng
OL29243038M,224,,,,eng
OL22384649M,187,,,,und
OL9636898M,224,Paperback,,,
OL20501301M,264,,,,eng
OL1882868M,252,,,,eng
OL9507637M,187,Mass Market Paperback,,,eng
OL10691234M,189,Paperback,,,eng
OL17215320M,189,,,,eng
OL28974140M,189,,,,eng
OL9750982M,,Paperback,6.6 x 4.1 x 0.5 inches,,eng
OL9748216M,,Paperback,6.6 x 4.1 x 0.5 inches,,eng
OL9745901M,,Paperback,6.6 x 4.1 x 0.5 inches,,eng
OL19699246M,288,,,,eng
OL1776472M,189,,,,eng
OL22619243M,190,,,,eng
OL9587185M,240,Paperback,,,eng
OL21220748M,190,,,,eng
OL9774846M,190,Paperback,,,eng
OL11658583M,240,Hardcover,,,eng
OL8926729M,240,Paperback,8.5 x 5.5 x 0.5 inches,9.4 ounces,eng
OL20161132M,283,,,,eng
OL377544M,399,,,,eng
OL10686514M,,Hardcover,,,eng
OL15125290M,283,,,,eng
OL16771051M,308,,,,eng
OL7961810M,352,Hardcover,,,
OL10683605M,,Mass Market Paperback,,,eng
OL18504626M,456,,,,eng
OL7973920M,398,School & Library Binding,6.7 x 4.4 x 1.5 inches,9.6 ounces,eng
OL9639148M,,Mass Market Paperback,,,eng
OL11558534M,,Hardcover,8.2 x 5.6 x 1.2 inches,1 pounds,eng
OL8603363M,,Audio cassette,7.2 x 4.5 x 0.5 inches,4.8 ounces,eng
OL22184538M,283,,,,eng
OL10682557M,456,Mass Market Paperback,,,eng
OL9682652M,512,Paperback,7.9 x 5.2 x 0.9 inches,15.2 ounces,eng
OL8276771M,,School & Library Binding,8.8 x 5.8 x 1 inches,1.2 pounds,eng
OL9598700M,464,Hardcover,9 x 6 x 1.2 inches,1.5 pounds,eng
OL21920251M,399,,,,eng
OL8845011M,,Audio cassette,9.4 x 4.3 x 0.4 inches,3 ounces,eng
OL18587170M,456,,,,eng
OL7866886M,288,Hardcover,,,
OL11000892M,,Paperback,,,
OL20947352M,398,Paperback,,,eng
OL23273991M,399,,,,eng
OL7961854M,400,Paperback,7.7 x 5 x 1.1 inches,12 ounces,
OL10684301M,,Mass Market Paperback,8.6 x 5.5 x 0.7 inches,5.4 ounces,eng
OL9844175M,416,Mass Market Paperback,6.8 x 4.1 x 1.1 inches,7.2 ounces,eng
OL17892075M,414,,,,eng
OL3704385M,429,,,,eng
OL10682161M,,Mass Market Paperback,,,eng
OL9738841M,480,Paperback,7.9 x 5.2 x 0.9 inches,13.6 ounces,eng
OL16378884M,187,,,,eng
OL16521973M,187,,,,eng
OL9746575M,288,Hardcover,,,eng
OL9748768M,288,Hardcover,,,eng
OL16522155M,,,,,eng
OL9751943M,288,Hardcover,,,eng
OL9737447M,,Paperback,,,eng
OL22326873M,268,,,,eng
OL14979972M,188,,,,eng
OL14976354M,188,,,,eng
OL14980601M,188,,,,eng
OL24281415M,,E-book,,,eng
OL10750217M,,Paperback,6.8 x 4 x 0.8 inches,4 ounces,eng
OL7421869M,253,,,,eng
OL7421949M,217,,,,eng
OL11235141M,278,Paperback,,,
OL21377203M,,,,,dut
OL10692087M,186,Paperback,7 x 4.2 x 0.8 inches,4 ounces,eng
OL10241180M,288,Hardcover,8.2 x 5.5 x 0.8 inches,13.6 ounces,eng
OL28973603M,189,,,,eng
OL9739293M,,Paperback,,,eng
OL20937110M,288,,,,eng
OL10238995M,256,Hardcover,,,
OL18356685M,189,,,,eng
OL24404777M,189,Paperback,,,eng
OL29243052M,224,,,,eng
OL29020961M,288,,,,eng
OL28973870M,188,,,,eng
OL14977908M,188,,,,eng
OL20130251M,220,,,,eng
OL12053381M,,Audio Cassette,,,
OL10738297M,188,Paperback,,,eng
