edition_key,publish_date,publish_year,publisher,publish_place,publish_country,series
OL29788367M,2018,2018,"Harlequin Enterprises, Limited",,,
OL29264472M,2015,2015,"Harlequin Mills & Boon, Limited",,,
OL10280664M,1987,1987,Harlequin,,,
OL10280664M,1987,1987,Harlequin Mills & Boon,,,
OL9682571M,"December 4, 1992",1992,Harlequin Mills & Boon,,,
OL22612896M,1987,1987,Mills & Boon,"Richmond, Surrey",xxk,Romance
OL9853763M,"January 1, 1988",1988,Harlequin,,,Harlequin Presents No 1050
OL10691112M,1979,1979,Harlequin,,,
OL39576746M,2012,2012,Tyndale House Publishers,,,
OL39581919M,2012,2012,Tyndale House Publishers,,,
OL33470829M,2012,2012,Tyndale House Publishers,,,
OL29873195M,2020,2020,"Crown Publishing Group, The",,,
OL29164291M,2013,2013,Lion Hudson PLC,,,
OL29492164M,2020,2020,Lion Hudson PLC,,,
OL28504945M,2013,2013,Lion Hudson PLC,,,
OL27928962M,2001,2001,Recorded Books,,,
OL9049218M,"January 1, 1998",1998,St.-Johannis-Druckerei,,,
OL8748409M,"May 25, 2001",2001,Multnomah,,,
OL18420160M,2007,2007,Tyndale House Pub.,"Carol Stream, Ill",ilu,
OL24949890M,2007,2007,Multnomah,"Sisters, OR, USA",oru,
OL24389148M,1991 12,1991,Fanfare / Bantam Books,"New York, USA",nyu,
OL1405352M,1993,1993,G.K. Hall,"Thorndike, Me",meu,G.K. Hall large print book series
OL9788228M,February 2001,2001,Recorded Books,,,
OL668881M,1998,1998,Multnomah Women's Fiction,"Chicago, USA",oru,
OL18285347M,2007,2007,Multnomah Books,"Colorado Springs, CO, USA",cou,
OL8748315M,"May 11, 2001",2001,Multnomah,,,
OL24293314M,2009,2009,The Doubleday Religious Publishing Group,New York,nyu,
OL8847745M,"May 9, 2005",2005,Multnomah,,,
OL8875813M,"September 6, 2006",2006,Walker & Company,,,
OL8989263M,"August 20, 2004",2004,Monarch Books,,,
OL24975909M,1990,1990,Harlequin Books,Toronto,onc,Harlequin romance -- 3085
OL24975909M,1990,1990,Harlequin Books,New York,onc,Harlequin romance -- 3085
OL24939124M,1990,1990,Harlequin Books,Toronto,onc,Harlequin romance -- 3085
OL24939124M,1990,1990,Harlequin Books,New York,onc,Harlequin romance -- 3085
OL22618271M,1994,1994,Mills & Boon,Richmond,enk,Duet
OL1982402M,1989,1989,Mills & Boon,"Richmond, Surrey",enk,
OL1982402M,1989,1989,Brand: Mills n Boon,"Richmond, Surrey",enk,
OL17390856M,1990,1990,Mills & Boon,,enk,
OL22415407M,1989,1989,Mills & Boon,"Richmond, Surrey",xxk,
OL10691736M,"October 1, 1990",1990,harlequin,,,"Harlequin Romance, No 3085"
OL10691736M,"October 1, 1990",1990,Harlequin,,,"Harlequin Romance, No 3085"
OL18357600M,1984,1984,Mills & Boon,London,xxk,
OL10239059M,October 1987,1987,Thorndike Pr,,,
