work_key,ebook_access,has_fulltext,has_public_scan
OL18020194W,printdisabled,True,False
OL24390422W,no_ebook,False,False
OL35223328W,no_ebook,False,False
OL34774028W,no_ebook,False,False
OL20808172W,borrowable,True,False
OL25515697W,no_ebook,False,False
OL20090688W,no_ebook,False,False
OL20564687W,printdisabled,True,False
OL27245843W,no_ebook,False,False
OL2959315W,borrowable,True,False
OL27733867W,no_ebook,False,False
OL27310398W,no_ebook,False,False
OL11327658W,borrowable,True,False
OL20068530W,no_ebook,False,False
OL3759285W,borrowable,True,False
OL3458001W,borrowable,True,False
OL27818823W,no_ebook,False,False
OL3775397W,printdisabled,True,False
OL11327660W,borrowable,True,False
OL11327987W,printdisabled,True,False
OL1708087W,borrowable,True,False
OL4342701W,borrowable,True,False
OL3467487W,printdisabled,True,False
OL21833211W,borrowable,True,False
OL4215998W,borrowable,True,False
OL5091273W,printdisabled,True,False
OL486967W,printdisabled,True,False
OL3457830W,borrowable,True,False
OL3775449W,borrowable,True,False
OL3775478W,printdisabled,True,False
OL6794523W,borrowable,True,False
OL3771321W,printdisabled,True,False
OL11277304W,borrowable,True,False
OL3475982W,borrowable,True,False
OL3759349W,printdisabled,True,False
OL11327979W,borrowable,True,False
OL3759116W,borrowable,True,False
OL8315359W,borrowable,True,False
OL3457933W,printdisabled,True,False
OL11327957W,borrowable,True,False
OL9367818W,borrowable,True,False
OL5236259W,borrowable,True,False
OL11327666W,borrowable,True,False
OL20650912W,no_ebook,False,False
OL77775W,public,True,True
OL21775531W,no_ebook,False,False
OL3759318W,borrowable,True,False
OL27838518W,no_ebook,False,False
OL11327953W,printdisabled,True,False
OL20018811W,printdisabled,True,False
OL11277315W,borrowable,True,False
OL8315354W,borrowable,True,False
OL8315362W,borrowable,True,False
OL11328452W,borrowable,True,False
OL4955616W,borrowable,True,False
OL11277298W,borrowable,True,False
OL3467485W,borrowable,True,False
OL3294436W,borrowable,True,False
OL3845148W,borrowable,True,False
OL20004814W,printdisabled,True,False
OL4233148W,printdisabled,True,False
OL16014245W,printdisabled,True,False
OL2959270W,borrowable,True,False
OL7990767W,printdisabled,True,False
OL11277334W,borrowable,True,False
OL11327897W,borrowable,True,False
OL8030401W,borrowable,True,False
OL8315310W,borrowable,True,False
OL3770492W,borrowable,True,False
OL17850410W,no_ebook,False,False
OL4233186W,printdisabled,True,False
OL3467489W,unclassified,False,False
OL4233175W,borrowable,True,False
OL20893778W,borrowable,True,False
OL3498612W,printdisabled,True,False
OL11327973W,borrowable,True,False
OL2959374W,borrowable,True,False
OL16481385W,borrowable,True,False
OL11327962W,printdisabled,True,False
OL4342716W,borrowable,True,False
OL3845179W,borrowable,True,False
OL17719508W,printdisabled,True,False
OL15411754W,borrowable,True,False
OL3476075W,borrowable,True,False
OL3845173W,borrowable,True,False
OL3476079W,borrowable,True,False
OL3845101W,borrowable,True,False
OL3771180W,borrowable,True,False
OL8315355W,borrowable,True,False
OL5236211W,borrowable,True,False
OL4233121W,printdisabled,True,False
OL11327982W,borrowable,True,False
