work_key,ratings_count_1,ratings_count_2,ratings_count_3,ratings_count_4,ratings_count_5
OL18020194W,114,36,65,153,684
OL24390422W,58,12,24,36,162
OL35223328W,2,0,0,6,39
OL34774028W,13,1,3,7,43
OL20808172W,5,2,4,26,25
OL25515697W,15,5,8,28,66
OL20090688W,16,6,20,40,114
OL20564687W,3,1,3,1,12
OL27245843W,13,7,13,26,44
OL2959315W,1,1,4,8,11
OL27733867W,55,11,37,79,232
OL27310398W,73,17,26,43,154
OL11327658W,1,0,6,9,13
OL20068530W,15,10,12,29,59
OL3759285W,1,2,5,9,13
OL3458001W,0,1,2,7,3
OL27818823W,9,2,24,61,72
OL3775397W,0,1,2,11,7
OL11327660W,0,4,3,8,1
OL11327987W,3,2,6,4,8
OL1708087W,1,0,4,10,4
OL4342701W,0,0,5,10,6
OL3467487W,1,2,5,4,7
OL21833211W,2,0,0,3,12
OL4215998W,2,0,4,12,11
OL5091273W,1,0,1,6,7
OL486967W,0,3,12,41,42
OL3457830W,1,1,4,3,7
OL3775449W,1,1,3,4,4
OL3775478W,0,1,6,6,5
OL6794523W,2,2,10,5,9
OL3771321W,3,1,5,4,3
OL11277304W,3,1,9,13,17
OL3475982W,0,0,3,6,4
OL3759349W,2,4,5,8,5
OL11327979W,0,1,6,9,4
OL3759116W,1,1,8,10,7
OL8315359W,2,2,3,10,9
OL3457933W,1,1,2,7,10
OL11327957W,1,3,8,8,6
OL9367818W,1,3,5,8,6
OL5236259W,2,2,6,15,14
OL11327666W,1,0,12,7,4
OL20650912W,0,2,2,7,14
OL77775W,0,0,10,6,5
OL21775531W,3,1,1,4,14
OL3759318W,0,0,5,8,7
OL27838518W,3,0,2,3,12
OL11327953W,1,0,8,5,11
OL20018811W,8,3,7,20,42
OL11277315W,0,4,1,5,6
OL8315354W,0,1,2,10,12
OL8315362W,0,0,5,11,7
OL11328452W,0,2,6,9,8
OL4955616W,4,2,5,7,9
OL11277298W,2,0,5,10,8
OL3467485W,0,0,3,15,4
OL3294436W,0,4,2,11,6
OL3845148W,3,0,2,13,11
OL20004814W,0,1,4,3,13
OL4233148W,2,2,3,6,6
OL16014245W,28,6,17,40,100
OL2959270W,0,1,2,12,12
OL7990767W,1,1,4,8,10
OL11277334W,1,2,3,10,9
OL11327897W,1,0,2,9,7
OL8030401W,0,1,2,6,9
OL8315310W,1,0,6,7,5
OL3770492W,1,1,4,8,3
OL17850410W,15,7,22,37,82
OL4233186W,4,2,10,6,6
OL3467489W,2,3,5,4,11
OL4233175W,1,1,1,8,8
OL20893778W,1,3,3,5,16
OL3498612W,1,1,2,9,5
OL11327973W,0,3,5,12,6
OL2959374W,0,1,6,6,6
OL16481385W,1,1,4,11,7
OL11327962W,0,2,4,6,8
OL4342716W,1,1,6,7,10
OL3845179W,0,2,2,4,2
OL17719508W,5,2,6,4,47
OL15411754W,0,3,4,6,7
OL3476075W,0,1,8,5,3
OL3845173W,1,0,4,7,3
OL3476079W,2,2,4,4,3
OL3845101W,0,3,8,10,3
OL3771180W,1,1,5,7,4
OL8315355W,0,2,2,9,7
OL5236211W,2,0,5,9,3
OL4233121W,2,0,0,5,8
OL11327982W,2,2,8,9,4
OL3845160W,1,1,4,4,3
OL2705619W,3,3,5,4,4
OL3770466W,2,3,2,2,4
OL5236199W,0,0,9,12,5
OL8315358W,1,2,7,6,10
OL4225414W,2,3,2,5,6
OL21435W,2,2,2,8,27
OL3775489W,1,3,4,5,4
OL11327153W,2,2,2,10,4
OL3759041W,0,0,4,7,10
OL19705711W,0,0,0,2,6
OL3771293W,2,1,5,3,4
OL11277293W,0,3,3,4,2
OL3771221W,2,2,3,4,2
OL11762243W,0,0,2,14,6
OL3845131W,1,3,3,5,4
OL3845174W,0,1,1,5,5
