work_key,series_key,series_position,series_name
OL18020194W,OL330996L,1,It Ends With Us
OL24390422W,OL327005L,1,Twisted
OL25515697W,OL327005L,2,Twisted
OL27245843W,OL327005L,3,Twisted
OL27733867W,OL330996L,2,It Ends With Us
OL27310398W,OL330244L,1,Cat and Mouse Duet
OL27818823W,OL327005L,4,Twisted
OL20650912W,OL334583L,1,Crescent City
OL16014245W,OL329905L,1,Shatter Me
OL17850410W,OL330571L,1,The Folk of the Air
OL20893778W,OL331212L,1,Devil's Night
OL17356883W,OL334913L,1,Red Queen
OL16915199W,OL334584L,2,The Selection
OL25917284W,OL327669L,1,Bright Falls
OL34568152W,OL330998L,3,Slammed
OL554608W,OL334569L,3,Bridgerton
OL3261154W,OL336999L,3,Outlander
OL17791167W,OL334582L,6,Throne of Glass
OL16336633W,OL330466L,1,Fifty Shades
OL71042W,OL327423L,6,The Chronicles of Narnia
OL17293267W,OL331109L,3,Shadow and Bone
OL17104741W,OL334584L,4,The Selection
OL20210369W,OL330644L,1-3,To All the Boys I've Loved Before
OL175368W,OL331082L,6,Bedwyn Saga
OL27916409W,OL331100L,1,Game Changers
OL27297240W,OL330244L,2,Cat and Mouse Duet
OL24217909W,OL330997L,2,Maybe Someday
OL554612W,OL334569L,7,Bridgerton
OL20537509W,OL331212L,2,Devil's Night
OL20797746W,OL334586L,2,Royal Elite
OL26087369W,OL334586L,4,Royal Elite
OL38128674W,OL329278L,1,Into Darkness
OL167351W,OL331085L,4,The Huxtable Family
OL19977306W,OL330997L,1,Maybe Someday
OL17203232W,OL327639L,7,Dork Diaries
OL3261153W,OL336999L,2,Outlander
OL26087370W,OL334586L,6,Royal Elite
OL23738W,OL330706L,1,Avalon Series
OL16607146W,OL334582L,1,Throne of Glass
OL17352669W,OL327003L,1,A Court of Thorns and Roses
OL16325201W,OL334925L,2,Divergent
OL16807730W,OL334593L,4,The Heroes of Olympus
OL35718442W,OL327422L,3,Kings of Sin
OL26085843W,OL331100L,6,Game Changers
OL28181491W,OL334585L,1,Legacy of Gods
OL17444354W,OL330998L,2,Slammed
OL277730W,OL336938L,1,The Vampire Diaries
OL19964677W,OL330998L,1,Slammed
OL21802553W,OL329905L,1-6,Shatter Me
OL15456729W,OL336759L,1,All Souls Trilogy
OL21101115W,OL334583L,2,Crescent City
OL17356811W,OL330644L,2,To All the Boys I've Loved Before
OL19737574W,OL329905L,4,Shatter Me
OL25434351W,OL331100L,2,Game Changers
OL28744393W,OL327422L,1,Kings of Sin
OL41943074W,OL331363L,3,The Empyrean
OL8464993W,OL334569L,2,Bridgerton
OL24341413W,OL333535L,3,Culpables
OL16550681W,OL330466L,2,Fifty Shades
OL29330646W,OL327422L,2,Kings of Sin
OL20924915W,OL331109L,2,Shadow and Bone
OL77748W,OL330993L,3,Anne of Green Gables
OL21703979W,OL327003L,5,A Court of Thorns and Roses
OL17625829W,OL334582L,5,Throne of Glass
OL16239519W,OL331109L,1,Shadow and Bone
OL21234089W,OL334586L,1,Royal Elite
OL20018781W,OL330997L,,Maybe Someday
OL16361029W,OL334584L,1,The Selection
OL16925622W,OL334584L,3,The Selection
OL554615W,OL334569L,4,Bridgerton
OL16550682W,OL330466L,3,Fifty Shades
OL554620W,OL334569L,1,Bridgerton
OL17367560W,OL334582L,3,Throne of Glass
OL16211977W,OL331001L,3,The Summer I Turned Pretty
OL3261155W,OL336999L,1,Outlander
OL77813W,OL334927L,2,The Vampire Chronicles
OL29226517W,OL331363L,1,The Empyrean
OL24377219W,OL330468L,3,Fifty Shades as told by Christian
OL17782786W,OL336759L,3,All Souls Trilogy
OL17718538W,OL334582L,4,Throne of Glass
OL17356842W,OL334913L,2,Red Queen
OL1418187W,OL334573L,1,The Martian Tales
